"course_code","course_title","department","credits","description"
"AFST 101-7","College Seminar","African Studies (AFST)","1 Unit","Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
"AFST 101-8","First-Year Writing Seminar","African Studies (AFST)","1 Unit","Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
"AFST 276-0","African Literature in Translation","African Studies (AFST)","1 Unit","Continental African literature. Content varies. May be repeated for credit with different topic. Taught withCOMP_LIT 270-0; may not receive credit for both courses with same topic."
"AFST 360-SA","Culture, Language, and Identity in South Africa","African Studies (AFST)","1 Unit","Introduction to South African populations and cultures through direct experience and representations in history, art, literature, languages, and customs. Discussions of South African cultures and ethnicity, language use and policy, and identity. Restricted to students in Northwestern's South Africa program."
"AFST 390-0","Topics in African Studies","African Studies (AFST)","1 Unit",""
"AFST 390-SA","Topics in African Studies","African Studies (AFST)","1 Unit","A general examination of topics relevant to African studies. May be repeated for credit with change of topic. Restricted to students in Northwestern's South Africa program."
"AFST 392-1","Herskovits Undergraduate Research Award","African Studies (AFST)","1 Unit","2-course sequence required for recipients of the Herskovits Undergraduate Research Award. Consecutive enrollment required inAFST 392-2."
"AFST 392-2","Herskovits Undergraduate Research Award","African Studies (AFST)","1 Unit","2-course sequence required for recipients of the Herskovits Undergraduate Research Award."
"AFST 395-0","Senior Research Seminar","African Studies (AFST)","1 Unit","Capstone seminar addressing both techniques of research and the substance of a significant issue in African studies. Students develop skills at formulating a research topic and organizing research."
"AFST 399-0","Independent Study","African Studies (AFST)","1 Unit","May be repeated for credit with change of topic."
"AMER_ST 301-1","Seminar for Majors","American Studies (AMER_ST)","1 Unit","Set of required courses structured to share a broad comparativist or internationally oriented theme, integrating methods and materials from different disciplines. Change of instructor each quarter; change of theme every year. Limited to 20 students."
"AMER_ST 301-2","Seminar for Majors","American Studies (AMER_ST)","1 Unit","Set of required courses structured to share a broad comparativist or internationally oriented theme, integrating methods and materials from different disciplines. Change of instructor each quarter; change of theme every year. Limited to 20 students."
"AMER_ST 301-3","Seminar for Majors","American Studies (AMER_ST)","1 Unit","Set of required courses structured to share a broad comparativist or internationally oriented theme, integrating methods and materials from different disciplines. Change of instructor each quarter; change of theme every year. Limited to 20 students."
"AMER_ST 310-0","Studies in American Culture","American Studies (AMER_ST)","1 Unit","Readings and discussions of topics in American cultural life-for example, law in 20th century America or television news in contemporary US culture. Limited enrollment with emphasis on student participation. Prerequisites vary. May be repeated for credit with consent of program director."
"AMER_ST 390-1","Senior Project","American Studies (AMER_ST)","1 Unit","Thesis or field study. Required of majors."
"AMER_ST 390-2","Senior Project","American Studies (AMER_ST)","1 Unit","Thesis or field study. Required of majors."
"AMER_ST 399-0","Independent Study","American Studies (AMER_ST)","1 Unit","This course is for American Studies majors doing independent research or reading with a faculty member. Must be approved by American Studies Director."
"ANTHRO 101-7","College Seminar","Anthropology (ANTHRO)","1 Unit","Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
"ANTHRO 101-8","First-Year Writing Seminar","Anthropology (ANTHRO)","1 Unit","Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
"ANTHRO 211-0","Culture & Society","Anthropology (ANTHRO)","1 Unit","Introduction to the comparative study of culture, exploring different types of social organization and their economic and political correlates in the context of contemporary globalization."
"ANTHRO 213-0","Human Origins","Anthropology (ANTHRO)","1 Unit","Emergence of the human species through the process of organic evolution, emphasizing genetics, the fossil record, and comparison with our nearest living relatives."
"ANTHRO 214-0","Archaeology: Unearthing History","Anthropology (ANTHRO)","1 Unit","The evolution of culture from its earliest beginnings through the development of urbanism and the state. Principles of archaeological research."
"ANTHRO 215-0","The Study of Culture through Language","Anthropology (ANTHRO)","1 Unit","The scope of linguistic anthropology, from the study of language as an end in itself to the investigation of cultures through the medium of human languages."
"ANTHRO 221-0","Social and Health Inequalities","Anthropology (ANTHRO)","1 Unit","Bidirectional relationship between social (e.g., class, gender, and racial/ethnic) and health inequalities, including institutional/structural, individual/family/psychosocial, and biological mechanisms."
"ANTHRO 232-0","Myth and Symbolism","Anthropology (ANTHRO)","1 Unit","Introduction to different approaches to the interpretation of myth and symbolism, e.g., Freudian, functionalist, and structuralist."
"ANTHRO 235-0","Language in Asian America","Anthropology (ANTHRO)","1 Unit","Survey of linguistic anthropological topics relevant to Asian American communities, including bilingualism, code switching, language socialization, language shift, style, sociolinguistic variation, indexicality, media, and semiotics.ANTHRO 235-0andASIAN_AM 235-0are taught together; may not receive credit for both courses."
"ANTHRO 238-0","Food in Culture & Society","Anthropology (ANTHRO)","1 Unit","This class explores food in all its cultural and social dimensions: deep history and origins; social, economic and political organization of the modern food industry; and cultural significance. Individual research projects allow in-depth study of one food; speakers, videos and experiential assignments take students out of the classroom to meet the people who sell, make, and grow our food."
"ANTHRO 240-0","Anthropology of Money","Anthropology (ANTHRO)","1 Unit","A survey of cultural and ethnographic approaches to money and finance. Topics of investigation include “primitive money,” the uses of money in religious and ritual practices, social and cultural meanings of numbers, mobile money, crypto-currency and other alternative currency systems, and the politics of central banking."
"ANTHRO 242-0","Porous Borders? Geography, Power and Techniques of Movement","Anthropology (ANTHRO)","1 Unit","At the advent of globalization scholars have argued that the movements of capital, commodities and people across nation-states have rendered their borders increasingly porous. The death of the nation-state was announced elsewhere. Yet, in the epoch of offshored refugee processing centers and border walls, this assumed porosity of borders begs a reexamination of broader geographies of power and techniques of movement."
"ANTHRO 255-0","Contemporary African Worlds","Anthropology (ANTHRO)","1 Unit","Use of key anthropological insights about value judgments and cultural relativism to examine the survival strategies and turbulent histories of contemporary African societies."
"ANTHRO 275-0","Introduction to Forensic Anthropology","Anthropology (ANTHRO)","1 Unit","This course provides an introductory overview of forensic anthropology by reviewing a range of issues associated with human skeletal identification including recovery techniques, time since death, biological profile development, trauma analysis, mass disasters investigation, and ethical consideration in forensic anthropology. These will serve as a model for understanding the broader aspects of the interaction between anthropology and the medicolegal system."
"ANTHRO 290-0","Topics in Anthropology","Anthropology (ANTHRO)","1 Unit","Intermediate work in areas of developing interest and special significance. May be repeated for credit with different topic."
"ANTHRO 306-0","Evolution of Life Histories","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 307-0","Anthropology of Peace","Anthropology (ANTHRO)","1 Unit","Cultural and ethnographic approaches to peace, peace building and peace activism. Topics of investigation include the concept of ""peaceful societies,"" cultural mechanisms for conflict resolution, truth and reconciliation, the relationship between peace and commerce, and the role of literature, art and material culture in peace activism."
"ANTHRO 309-0","Human Osteology","Anthropology (ANTHRO)","1 Unit","Introduction to human skeletal anatomy and biology. Identification and classification of human bones through hands-on dry-lab-based analysis."
"ANTHRO 312-0","Human Population Biology","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 313-0","Evolutionary Medicine","Anthropology (ANTHRO)","1 Unit","In this course we explore how evolution has made our bodies susceptible to the role of environments and social forces, including factors like stress, discrimination and inequality. We consider fields at the interface of the social and biological, including genetics, epigenetics and social epidemiology."
"ANTHRO 314-0","Human Growth & Development","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 315-0","Medical Anthropology","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 317-0","Human Evolution","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 318-0","Material Worlds of the Middle Ages","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 319-0","Material Life & Culture in Europe, 1500-1800","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 320-0","Peoples of Africa","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 321-0","Archaeological Field Methods","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 322-0","Introduction to Archaeology Research Design & Methods","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 324-0","Archaeological Survey Methods","Anthropology (ANTHRO)","1 Unit","Unique contributions of archaeological surveys to research about past peoples and places. Course uses geospatial technologies, such as shallow geophysics and GIS."
"ANTHRO 325-0","Archaeological Methods Laboratory","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 326-0","Archaeologies of Sustainability and Collapse","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 327-0","Historical Archaeology","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 328-0","The Maya","Anthropology (ANTHRO)","1 Unit","The archaeology of the Maya in Latin America; life and society in pre-Columbian Maya civilization."
"ANTHRO 329-0","Archaeology and Nationalism","Anthropology (ANTHRO)","1 Unit","The course explores the role of archaeology in the creation and elaboration of national identities (18th C century to present): the institutionalization of archaeology; development of museums and practices of display/interpretation;archaeological sites as national monuments and tourist destinations; and cultural property legislation and artifact repatriation.HUM 329-0andANTHRO 329-0are taught together; may not receive credit for both."
"ANTHRO 330-0","Peoples of the World","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 332-0","The Anthropology of Reproduction","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 333-0","GIS for the Social Sciences","Anthropology (ANTHRO)","1 Unit","This course introduces Geographic Information Systems (GIS) as a tool for analyzing spatial phenomena in the social sciences. Students will explore the fundamental principles of GIS, learn to handle spatial data, and apply spatial analysis  to address  questions in the social sciences. Through seminar, labs, and projects, students will develop skills in spatial analysis, visualization, and critical interpretation of geographic data. Additionally, the course combines practical GIS skills with foundational knowledge of research design, equipping students to conceptualize, execute, and critically evaluate GIS-based studies. Students will learn to integrate spatial data with social science questions, explore analytical methods, and navigate ethical and methodological challenges in research."
"ANTHRO 334-0","The Anthropology of HIV/AIDS: Ethnographies","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 339-0","Material Culture","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 340-0","Visual Anthropology of Africa","Anthropology (ANTHRO)","1 Unit","Anthropological analysis of techniques, visual rhetoric, and narrative strategies embedded in images of Africa and Africans in a variety of contemporary and digital media. Course includes instruction in video production."
"ANTHRO 341-0","Economic Anthropology","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 342-0","Anthropology of Education","Anthropology (ANTHRO)","1 Unit","This course explores central concepts and methods used by sociocultural anthropologists to study and understand the relationship between culture, context, power, and learning. Topics explored include everyday learning, cultural influences on education, the anthropology of literacy, race and inequality, immigrant education, social reproduction in schooling, and the anthropology of educational policy. Students cannot take and receive credit for more than one completion ofSESP 342-0,SESP 351-0""Anthropology of Education,"" orANTHRO 390-0""Anthropology of Education."""
"ANTHRO 343-0","Anthropology of Race","Anthropology (ANTHRO)","1 Unit","Anthropological approaches to the analysis of race, racialization, and antiracism. Human variation, space, segregation, comparative analysis, and language ideologies."
"ANTHRO 345-0","Black Queer Diaspora","Anthropology (ANTHRO)","1 Unit","This course explores Black LGBTQ+ sexual cultures and social movements around the world. Across shared and divergent histories, Black LGBTQ+ people have been shaped by and continuously reshape conceptions of race, gender, and sexuality. Focusing on ethnography, Black queer theory, music, movies, photography, and other scholarly and artistic works, we study social practices and activism oriented towards freedom and flourishing."
"ANTHRO 350-0","Anthropology of Religion","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 351-0","Hope and Futurity","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 353-0","Shady Business: Informal Economies in Contemporary Capitalism","Anthropology (ANTHRO)","1 Unit","Taking stock of world economic changes such as the collapse of socialism, the advent of globalization as well as the intensification of transnational labor migration, this course aims to reveal the categorical distinctions drawn between formal and informal economies in contemporary capitalism as historically situated and politically charged constructs."
"ANTHRO 354-0","Gender and Anthropology","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 355-0","Sexualities","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 357-0","Biocultural Perspectives on Water Insecurity","Anthropology (ANTHRO)","1 Unit","Explore many ways that water impacts humans around the world through the lens of anthropology, religion, biology, environment, and politics. Why do individual’s experiences with water differ? How does water insecurity manifest? How do we measure it? How do we solve it?ANTHRO 357-0andGBL_HLTH 357-0are taught together; students may not receive credit for both."
"ANTHRO 358-0","Primate Behavior and Ecology","Anthropology (ANTHRO)","1 Unit","This course provides an introductory overview of non-human primate behavior and ecology, covering topics nutrition, cognition, sociality, and conservation. No prerequisites."
"ANTHRO 359-0","The Human Microbiome and Health","Anthropology (ANTHRO)","1 Unit","Discussion-based analysis of cutting-edge research on the microbes associated with the human body and their impacts on health. Consideration of historical, social, and political influences on observed patterns."
"ANTHRO 360-0","Language and Culture","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 361-0","Talk as Social Action","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 365-0","Language, Race, & Ethnicity in the U.S.","Anthropology (ANTHRO)","1 Unit","Analysis of connections between language ideologies, language use, and meanings of race and ethnicity. Bilingualism, immigration, identity, accented English, African American English, language policy, English only movement, education, social change.ANTHRO 365-0andASIAN_AM 365-0are taught together; may not receive credit for both courses."
"ANTHRO 368-0","Latina and Latino Ethnography","Anthropology (ANTHRO)","1 Unit","Sociocultural analysis of US Latina/o communities. Examines ethnographies by and about Latina/os based in the United States. Draws on a broad disciplinary basis to critique and elaborate on ethnographic methods and epistemologies."
"ANTHRO 369-0","Contemporary Immigration to the U.S.","Anthropology (ANTHRO)","1 Unit","Major theories in immigration studies; contemporary processes of immigration and immigrant ""community building"" in the United States."
"ANTHRO 370-0","Anthropology in Historical Perspective","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 373-0","Power and Culture in American Cities","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 375-0","Advanced Methods in Forensic Anthropology","Anthropology (ANTHRO)","1 Unit","This course provides a review of advanced methods in forensic anthropology. We will discuss the full range of issues associated with human skeletal identification from biological profile construction to trauma analysis. This class will include discussion of relevant literature in forensic anthropology and hands-on, dry lab activity to better appreciate the reality of practitioners in the field."
"ANTHRO 377-0","Psychological Anthropology","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 378-0","Law and Culture","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 382-0","Political Ecology","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 383-0","Environmental Anthropology","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 384-0","Traveling While Muslim: Islam, Mobility, and Security after 9/11","Anthropology (ANTHRO)","1 Unit","What are the stakes of traveling while Muslim in that post 9/11 era of racing Islam? How do we come to understand such mobility? In probing these questions, amongst others, in this seminar we aim to examine the interlocked relationship between Islam, mobility and security."
"ANTHRO 386-0","Methods in Human Biology Research","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 389-0","Ethnographic Methods and Analysis","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 390-0","Topics In Anthropology","Anthropology (ANTHRO)","1 Unit",""
"ANTHRO 398-0","Senior Seminar","Anthropology (ANTHRO)","1 Unit","Supervised group discussion of research during preparation of the senior thesis project."
"ANTHRO 399-0","Independent Study","Anthropology (ANTHRO)","1 Unit","Open with consent of department to juniors and seniors who have completed with distinction at least 2 courses or the equivalent in anthropology. Under direction of individual members of department."
"ARABIC 111-1","Arabic I","Arabic (ARABIC)","1 Unit","Three-course introduction to listening, speaking, reading, and writing Arabic. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers."
"ARABIC 111-2","Arabic I","Arabic (ARABIC)","1 Unit","Three-course introduction to listening, speaking, reading, and writing Arabic. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers."
"ARABIC 111-3","Arabic I","Arabic (ARABIC)","1 Unit","Three-course introduction to listening, speaking, reading, and writing Arabic. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers. Prerequisite: None or placement exam results."
"ARABIC 114-0","Conversation and Culture in the Arab World","Arabic (ARABIC)","1 Unit","This course focuses one of the main dialects of Arabic (Egyptian, Levantine, Moroccan). This course is strongly recommended for students, undergraduate or graduate, who wish to further explore a spoken variety of Arabic. The course uses a communicative, proficiency-oriented approach with fully integrated audiovisual media to help students acquire a solid background on how to communicate using a dialect."
"ARABIC 121-1","Arabic II","Arabic (ARABIC)","1 Unit","Further development of grammar knowledge, reading, writing, speaking, and listening skills. Completion of at least this level is recommended for students seeking functional proficiency for study abroad."
"ARABIC 121-2","Arabic II","Arabic (ARABIC)","1 Unit","Further development of grammar knowledge, reading, writing, speaking, and listening skills as well as cultural knowledge. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers."
"ARABIC 121-3","Arabic II","Arabic (ARABIC)","1 Unit","Further development of grammar knowledge, reading, writing, speaking, and listening skills as well as cultural knowledge. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers."
"ARABIC 125-0","Media Arabic","Arabic (ARABIC)","1 Unit","Introduction to vocabulary, expressions, and terminology used in Arab print and broadcast media."
"ARABIC 211-1","Arabic III","Arabic (ARABIC)","1 Unit","Continued skills development of grammar knowledge, reading, writing, speaking, and listening skills as well as cultural knowledge. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers."
"ARABIC 211-2","Arabic III","Arabic (ARABIC)","1 Unit","Continued skills development of grammar knowledge, reading, writing, speaking, and listening skills as well as cultural knowledge. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers."
"ARABIC 211-3","Arabic III","Arabic (ARABIC)","1 Unit","Continued skills development of grammar knowledge, reading, writing, speaking, and listening skills as well as cultural knowledge. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers."
"ARABIC 216-0","Language and Culture","Arabic (ARABIC)","1 Unit","In this course students will study important cultural themes in Arab society.  In-depth exploration of a variety of historical and cultural topics from various sources help students build a comprehensive vocabulary as well as expand their reading knowledge and cultural understanding. The course will engage both, the MSA “frame” of narration as well as the spoken Arabic dialogue."
"ARABIC 245-0","Current Events in the Middle East: Arab Society through Online News Media","Arabic (ARABIC)","1 Unit","This course focuses on current events in the Middle East through in‐depth exploration of online News Media sources such as foreign newspaper articles and videos. Students will gain respect for alternative ideas and diversity of views as expressed in Arab news. The course focuses on reading, listening, discussion as well as building a comprehensive vocabulary in MSA and dialect."
"ARABIC 304-0","Translation in Practice: A Bridge to the Future","Arabic (ARABIC)","1 Unit","This unique foundational courses introduces students to translation skills to provide them with a competitive edge on the job market. Honing grammatical as well as stylistic facility in Arabic, the course promotes higher-level linguistic analysis and interpretation by following a problem-solving approach in translation."
"ARABIC 316-1","Reading Arabic Poetry","Arabic (ARABIC)","1 Unit","Advanced class reading, analyzing, and discussing G18 Arabic Poetry. Content varies.  May be repeated for credit with different topic. Open to heritage speakers."
"ARABIC 316-2","Reading Classical Arabic Texts","Arabic (ARABIC)","1 Unit","Advanced class reading, analyzing, and discussing Classical Arabic texts. Content varies.  May be repeated for credit with different topic. Open to heritage speakers."
"ARABIC 316-3","Reading Modern Arabic Prose","Arabic (ARABIC)","1 Unit","Advanced class reading, analyzing, and discussing Modern Arabic prose. Content varies.  May be repeated for credit with different topic. Open to heritage speakers."
"ARABIC 399-0","Independent Study","Arabic (ARABIC)","1 Unit","For students who have advanced with distinction beyond the regular course offerings in Arabic."
"ART_HIST 101-7","College Seminar","Art History (ART_HIST)","1 Unit","Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
"ART_HIST 101-8","First-Year Writing Seminar","Art History (ART_HIST)","1 Unit","Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
"ART_HIST 220-0","Introduction to African Art","Art History (ART_HIST)","1 Unit","Introduction to art making in Africa; historical periods and regions of focus may vary depending on instructor."
"ART_HIST 222-0","Black Art in the TransAtlantic World","Art History (ART_HIST)","1 Unit","Introduction to the visual arts and art history of the African diaspora, including the Caribbean, Brazil, and the United States, from the 19th century to present day."
"ART_HIST 224-0","Introduction to Ancient Art","Art History (ART_HIST)","1 Unit","Introduction to the art and architecture of the ancient Near Eastern, Egyptian, Aegean, Greek, and Roman worlds."
"ART_HIST 225-0","Introduction to Medieval Art","Art History (ART_HIST)","1 Unit","Introduction to the art and architecture of Europe and the Middle East from the third to fifteenth centuries CE."
"ART_HIST 226-0","Art and Visual Culture of the Islamic World","Art History (ART_HIST)","1 Unit","An introduction to the art and architecture of the Islamic world from the seventh century to the present."
"ART_HIST 230-0","Introduction to Art of the United States","Art History (ART_HIST)","1 Unit","Survey of the art and architecture of the United States in its cultural context, from the art of conquest to contemporary production."
"ART_HIST 232-0","Introduction to the History of Architecture: 1400 to Present","Art History (ART_HIST)","1 Unit","The theory and history of architecture in relation to cities and landscape; historical periods and regions of focus may vary depending on the instructor."
"ART_HIST 235-0","Introduction to Latin American Art","Art History (ART_HIST)","1 Unit","Survey of the work of artists and groups from throughout the various countries of Central and South America from colonial times to the present."
"ART_HIST 240-0","Introduction to Asian Art","Art History (ART_HIST)","1 Unit","Introduction to the art and architecture of Asia from ancient cultures to contemporary developments, including religious, court, and popular genres. Depending on the instructor, this course covers South/Southeast Asia or East Asia."
"ART_HIST 250-0","Introduction to Early Modern European Art","Art History (ART_HIST)","1 Unit","Leading centers and artists of Europe from the later Middle Ages to the 19th century, with attention to their global context. Architecture, sculpture, painting, and graphic arts in relation to their social and cultural settings."
"ART_HIST 255-0","Introduction to Modernism","Art History (ART_HIST)","1 Unit","Conceptual introduction to modernism, covering art and visual culture from the late-19th century to the mid-20th century, with a focus on Europe and the United States."
"ART_HIST 260-0","Introduction to Contemporary Art","Art History (ART_HIST)","1 Unit","Conceptual and thematic introduction to art since the 1960s, with attention to the impact of new technologies, social and political change, globalization, and the ongoing transformation of artistic production and distribution."
"ART_HIST 301-0","Topics in Art, Revolution and Empire","Art History (ART_HIST)","1 Unit","This course closely examines specific cases to consider how the politics of empire and revolution intersect with artistic, architectural and aesthetic forms and theories. The precise time period and locations considered vary depending on instructor."
"ART_HIST 318-0","Exhibiting Antiquity: The Culture and Politics of Display","Art History (ART_HIST)","1 Unit","Examination of the construction of Mediterranean antiquity through modes of reception since 1750. Analysis of programs of collecting and display and the intersection of institutional and scholarly agendas.ART_HIST 318-0,CLASSICS 397-0andHUM 397-0taught together; may receive credit for only 1 of these courses."
"ART_HIST 319-0","Special Topics in Ancient Art","Art History (ART_HIST)","1 Unit","Content varies depending on the expertise of the instructor and may engage with exhibitions and museums in Chicago and beyond. Past topics have included monsters and civilization; monument and commemoration in antiquity; narrative in ancient art; and the Roman provinces."
"ART_HIST 320-1","Medieval Art: Byzantine","Art History (ART_HIST)","1 Unit","Art and architecture of the Byzantine (Eastern Roman) empire in its larger Mediterranean, Middle Eastern and Eastern European context from the fourth to fifteenth century."
"ART_HIST 320-2","Medieval Art: Early Medieval","Art History (ART_HIST)","1 Unit",""
"ART_HIST 320-3","Medieval Art: Late Medieval","Art History (ART_HIST)","1 Unit","Art and architecture of Europe from the twelfth to fifteenth centuries."
"ART_HIST 328-0","Medievalism in Video Games: Art, Culture and Theory","Art History (ART_HIST)","1 Unit","Examination of the reconstruction of the medieval world in modern video games. Analysis of how real medieval environments and objects are imagined within digital formats and introduction to key methods of video game analysis."
"ART_HIST 329-0","Special Topics in Medieval Art","Art History (ART_HIST)","1 Unit",""
"ART_HIST 330-1","Early Modern European Art 1400–1500","Art History (ART_HIST)","1 Unit",""
"ART_HIST 330-2","Early Modern European Art 1500–1600","Art History (ART_HIST)","1 Unit",""
"ART_HIST 339-0","Special Topics in Early Modern Art","Art History (ART_HIST)","1 Unit",""
"ART_HIST 340-1","Baroque Art: Italy & Spain 1600–1800","Art History (ART_HIST)","1 Unit","Painting and sculpture in Italy, Spain, and Latin America from 1600–1800."
"ART_HIST 342-0","Eighteenth-Century European Art","Art History (ART_HIST)","1 Unit","Survey of European art, architecture, decorative arts, and material culture of the “long eighteenth century” (ca. 1670 to ca. 1815 CE) with a specific attention paid to Europe’s colonial and imperial legacy during the period."
"ART_HIST 349-0","Special Topics in 17th & 18th-Century Art","Art History (ART_HIST)","1 Unit",""
"ART_HIST 350-1","19th-Century Art 1: 1789–1848","Art History (ART_HIST)","1 Unit",""
"ART_HIST 350-2","19th-Century Art 2: 1848–1914","Art History (ART_HIST)","1 Unit",""
"ART_HIST 359-0","Special Topics in 19th-Century Art","Art History (ART_HIST)","1 Unit",""
"ART_HIST 360-0","20th Century Art","Art History (ART_HIST)","1 Unit","Painting, sculpture, architecture, design, and visual culture of the 20th century."
"ART_HIST 365-0","Art of the United States","Art History (ART_HIST)","1 Unit","Survey of the arts and visual culture in the United States, encompassing architecture, painting, sculpture, photography, prints, film, and popular culture."
"ART_HIST 367-0","Special Topics in Art of the Americas","Art History (ART_HIST)","1 Unit",""
"ART_HIST 368-0","Special Topics in Modern Art","Art History (ART_HIST)","1 Unit","Content varies-for example, art of the Russian Revolution; the avant-garde; totalitarian art; art during war; modernism and its discontents; art and decolonization; medium specificity."
"ART_HIST 369-0","Special Topics in Contemporary Art","Art History (ART_HIST)","1 Unit",""
"ART_HIST 370-1","Architecture & Landscapes, 1750–1890","Art History (ART_HIST)","1 Unit",""
"ART_HIST 370-2","Architecture & Landscapes, 1890 to Present","Art History (ART_HIST)","1 Unit",""
"ART_HIST 375-0","Media Theory","Art History (ART_HIST)","1 Unit","Comprehensive introduction from a humanistic perspective to theories about the nature of media and the role of technology in modern culture."
"ART_HIST 378-0","The Global City","Art History (ART_HIST)","1 Unit",""
"ART_HIST 379-0","Special Topics in Architectural History","Art History (ART_HIST)","1 Unit",""
"ART_HIST 384-0","African American Art","Art History (ART_HIST)","1 Unit",""
"ART_HIST 385-0","Black Visual Culture: Race and Representation","Art History (ART_HIST)","1 Unit","Examination of how visual representations and technologies of vision have been used to create, transform, or destabilize the idea of race as it pertains to people in Africa and/or the African diaspora at specific historical moments."
"ART_HIST 386-0","Special Topics in the Arts of Africa","Art History (ART_HIST)","1 Unit","Content varies depending on the expertise of the instructor and may engage with exhibitions and museums in Chicago and beyond. Past topics have included contemporary African art and African photography."
"ART_HIST 389-0","Special Topics in the Arts of Asia","Art History (ART_HIST)","1 Unit",""
"ART_HIST 390-0","Undergraduate Seminar","Art History (ART_HIST)","1 Unit","Intended for advanced reseach and writing in art history. Past topics have included art and ecology, Japanese prints, and Ottoman architecture in Egypt."
"ART_HIST 391-0","Art Historical Methods Seminar","Art History (ART_HIST)","1 Unit","Introduction to the historiography of art history and to the different methodological approaches to the study of art and visual culture."
"ART_HIST 395-0","Museums","Art History (ART_HIST)","1 Unit","Museum studies seminars. Content varies-for example, the history of museums, their ethical basis, community responsibilities, educational prerogatives, and future directions."
"ART_HIST 396-0","Internship in the Arts","Art History (ART_HIST)","1 Unit","Direct participation, with oversight by the director of undergraduate studies, in the curatorial/educational activities of an established arts organization. By petition, on a limited basis; may be taken only once."
