"course_code","course_title","department","credits","description"
"ACCT 5080","Independent Study","Accounting (ACCT)","1-3 Hours","Directed study in special topics in accounting. Variable credit (1 to 3).   Course Equivalents: ACCT 5380Prerequisite:Approval of Department Chair and Graduate Coordinator."
"ACCT 5085","Special Topic","Accounting (ACCT)","1-3 Hours","This course of faculty-led study is designed to provide graduate students exposure to new Accounting topics and concepts in a course setting. Variable Credit (1 to 3). Course Equivalents: ACCT 5385 ."
"ACCT 5300","Analysis of Accounting Information","Accounting (ACCT)","3 Hours","Students are introduced to the accounting principles, concepts, procedures, and techniques underlying financial and managerial accounting and reporting with an emphasis on business and economic information generated in the accounting process and a study of their behavior for planning and control decisions. This course does not apply to the 36-hour graduate credit hour requirement of the MBA degree program or the 30-hour MS in Accounting degree."
"ACCT 5302","Financial Reporting & Business Decisions","Accounting (ACCT)","3 Hours","Students study and examine  financial reporting from the point of view of management, creditors, and investors. The course specifically addresses how financing, investing, and operating decisions affect financial statements. The course also covers how creditors and investors use financial statements to assess the results of managers' decisions and the effect of alternative accounting methods on the quality of financial reporting. The course emphasizes the effect of internal accounting decisions on external financing and business decision making. The course is designed for non-Accounting majors."
"ACCT 5304","Accounting For Management","Accounting (ACCT)","3 Hours","Students examine and apply the concepts useful to management in the analysis of accounting data for the purposes of costing and income determination, decision making and control. The course typically includes readings, cases and discussion of planning and budgeting, activity-based costing, target costing, performance measurement, quality and environmental cost management. This course is designed for non-accounting majors.Prerequisite:ACCT 2301andACCT 2302orACCT 5300."
"ACCT 5311","Advanced Financial Reporting I","Accounting (ACCT)","3 Hours","Part one of an in-depth study of advanced financial accounting and the financial reporting process. Students examine a variety of financial accounting concepts, learn to research financial accounting standards and then to apply these financial reporting principles and research skills to address real-world issues. Financial Accounting Standards Board's (FASB) and Securities and Exchange Commission (SEC) requirements for financial reporting are covered and include presentation and disclosure requirements for various areas of an entity's financial statements.Prerequisite:Admission to the MS in Accounting Program."
"ACCT 5312","Advanced Financial Reporting II","Accounting (ACCT)","3 Hours","Part two of an in-depth study of advanced financial accounting topics. Building upon the skills developed inACCT 5311, students continue to examine advanced financial accounting concepts, research financial accounting standards and practice applying their research skills and professional judgement to find solutions to real-world type financial accounting problems. In addition, this course addresses contemporary financial reporting topics.Prerequisite:ACCT 5311."
"ACCT 5315","Seminar in Accounting Theory","Accounting (ACCT)","3 Hours","Students study accounting theory as well as a critical analysis of the history of the development of Generally Accepted Accounting Principles. Students research accounting literature, with the objective of critically evaluating the present status and future course of accounting thought as well as examine theoretical approaches to the solution of current problems in financial reporting.Prerequisite:Admission to the MS in Accounting program."
"ACCT 5324","Information System Auditing & Assurance","Accounting (ACCT)","3 Hours","Students study the linkage between auditing concepts and professional standards and their application to information system principles, processing, and control. Professional practice and experience in the use of the computer as an audit tool is introduced through the use of Generalized Audit Software. Students are provided with an understanding and hands-on familiarity with skills necessary to assess controls over computerized information systems and to accomplish computer assisted auditing procedures to render an opinion regarding the integrity of financial information produced by those systems. Knowledge of these concepts help prepare the student to practice in a technologically enhanced auditing environment.Prerequisite:Admission to the MS in Accounting Program."
"ACCT 5333","Financial Statement Analysis","Accounting (ACCT)","3 Hours","Students are provided an overview of the pertinent theoretics and various applications relevant to the analysis of financial statements by applying both finance and accounting principles. Readings and case studies are applied to provide a contemporary prospective.Prerequisite:Admission to the MS in Accounting program."
"ACCT 5347","Managerial Accounting Application","Accounting (ACCT)","3 Hours","Students study and exam managerial accounting applications that address contemporary managerial issues and problems. Topics may include activity-based costing, target costing, quality costs, environmental costing, capacity costing, theory of constraints, costing for lean production, and other areas. Cases and exercises are used to provide professional practice and experience in the development and use of management accounting information for decision making and the role of the management accountant as part of the management decision making team.Prerequisite:Admission to the MS in Accounting program."
"ACCT 5352","Corporate & Pass Through Entity Taxation","Accounting (ACCT)","3 Hours","Students study the Internal Revenue Code and related tax literature associated with corporate and pass through entity taxation. Students learn the concepts of forming, operating, and liquidating C Corporations, S Corporations, LLCs, and Partnerships. Federal tax returns are prepared for C Corporations, S Corporations and Partnerships. Tax research is emphasized and integrated into each of the above areas. Students obtain proficiency in the use of various internet and paper-based tax services and in the examination of related contemporary accounting literature.Prerequisite:Admission to the MS in Accounting program."
"ACCT 5355","Personal Tax Planning","Accounting (ACCT)","3 Hours","Students examine concepts of estate and income tax planning to minimize taxes on property transfers and increase after-tax wealth. Topics may include lifetime gifts, successive life estates, trusts, retirement planning, employee benefits, education financing, insurance, annuities, charitable giving strategies, and tax research.Prerequisite:Admission to the MS in Accounting program."
"ACCT 5357","Multijurisdictional Taxation Concepts","Accounting (ACCT)","3 Hours","Students examine concepts related to the taxation of business entities and individuals by international and state jurisdictions. The concepts of nexus, income allocation, and income apportionment issues as well as cross-border and international tax issues affecting activities of U.S. taxpayers are explored.Prerequisite:ACCT 5352."
"ACCT 5358","Tax Research, Practice & Procedure","Accounting (ACCT)","3 Hours","Students examine various contemporary tax practices focused on research, communication, compliance, and entity planning."
"ACCT 5360","Analytics in Accounting","Accounting (ACCT)","3 Hours","Students concentrate on data acquisition, and the analysis, interpretation, presentation, and use of data in decision-making in an accounting context.  Students gain hands-on experience with information technology used in the accounting profession. Project-oriented computer-based assignments are used to enhance students' knowledge and skills.Prerequisite:Admission to the MS in Accounting program."
"ACCT 5375","ERP Business Process Integration","Accounting (ACCT)","3 Hours","This course utilizes the SAP information system paradigm as a model for examination and development of integrated business process solutions. The course examines the conceptual background, rationale, methods, and procedures commonly employed by businesses in developing and configuring integrated business systems. Cases and hands-on experience using SAP require students to configure a business process solution through integration of financial, controlling, production, materials management, sales and distribution, manufacturing, and other ERP process modules.Prerequisite:Admission to the MS in Accounting program."
"ACCT 5379","Professional Ethics & Responsibility","Accounting (ACCT)","3 Hours","This course provides prospective accounting professionals an ability to apply philosophic moral theory to particular issues pertaining to the accounting profession. The course may include the examination of contemporary accounting literature related to ethical standards, ethical reasoning, integrity, objectivity, independence, and other core values. Emphasis is placed on dealing with controversial issues and examining the legal and professional responsibilities of public accountants. Topics also may include the examination of the state and AICPA Code of Professional Conduct and other governing authorities' pronouncements, such as SEC, IRS, and similar such bodies. Case studies and exercises with professional responsibility and ethical considerations in ""real life"" situations are interspersed throughout the curriculum.Prerequisite:Admission to the MS in Accounting program,ACCT 5311,ACCT 5324,ACCT 5352, and 12 completed graduate credit hours, and concurrent enrollment inACCT 5399."
"ACCT 5382","Current Issues in Assurance Services","Accounting (ACCT)","3 Hours","Students explore the dynamic and complex issues shaping the field of audit and assurance services. Students examine contemporary developments in assurance services, which may include innovations in audit practices, regulatory shifts, assurance on non-financial disclosures, and the impact of emerging technologies."
"ACCT 5388","Employee Benefit Plan Accounting & Assurance","Accounting (ACCT)","3 Hours","Students examine various accounting, compliance, and auditing issues related to different types of employee benefit plans. Financial reporting and regulatory filing requirements mandated by the federal government for employee benefit plans are also explored."
"ACCT 5399","Advanced Auditing Theory & Practice","Accounting (ACCT)","3 Hours","Students examine the theoretical and application issues of contemporary auditing as identified in the literature and by recent professional pronouncements. Topics may include internal control, control risk, legal liability of auditors, audit failure, audit risk, auditor responsibility for detection of fraud, and the evolving nature of the auditing profession in compliance with new audit standards. Case studies and exercises are used to address these and other topics of importance to professional auditing practice.Prerequisite:Admission to the MS in Accounting program,ACCT 5311,ACCT 5324,ACCT 5352, and 12 completed graduate credit hours."
"AGRI 5064","Agricultural Internship","Agricultural Sciences (AGRI)","1-6 Hours","A directed study utilizing industry to develop an understanding of agricultural production and management principles.    Course Equivalents: AGRI 5364 ."
"AGRI 5096","Independent Study","Agricultural Sciences (AGRI)","1-3 Hours","Students engage in arranged, advanced experiential learning and professional activities through the practical application of agricultural skills and knowledge specific to their individual needs and goals.  The topic of study is mutually selected and approved by the student and Agricultural Sciences faculty. Variable Credit (1 to 3).Prerequisite:Departmental Approval."
"AGRI 5300","Advanced Fusing Metals & Non-Metals","Agricultural Sciences (AGRI)","3 Hours","Students explore principles and techniques of bonding and fusing metallic materials by the electric and oxyacetylene processes. Students study fluxes, chemicals, and oxidants used in joining metal as well as the joining of non-metallic materials by mechanical and chemical means."
"AGRI 5310","Mechanized Harvesting & Handling Agricultural Products","Agricultural Sciences (AGRI)","3 Hours","Students study the fundamentals of selection, service, and operation of agricultural harvesting machines as well as the analysis and development of mechanical systems to feed and care for livestock. In addition, storage and handling facilities for agricultural products are discussed."
"AGRI 5330","Advanced Rural Utilities","Agricultural Sciences (AGRI)","3 Hours","Student study the selection and use of electrical equipment as related to efficiency and economy in agricultural production, processing and storage of feeds, forage crops and grain in connection with livestock enterprises."
"AGRI 5337","Behavior & Management of Domestic Animals","Agricultural Sciences (AGRI)","3 Hours","Students study behavior associated with domesticated animals. The effects of selective breeding, physical and social environments, and the developmental stage on social organization are studied. Additionally, aggressive behavior, sexual behavior, productivity, and the training of domestic animals are examined. Note: Students who have takenANSC 4337may not takeAGRI 5337.Prerequisite:Graduate Standing."
"AGRI 5340","Advanced Animal Growth & Performance","Agricultural Sciences (AGRI)","3 Hours","This course is an advanced study of physiological and endocrine factors affecting growth and performance of domestic animals. The course may include the study of meat animal growth and developmental processes as they affect body and carcass composition, carcass quality and retail value. NOTE: Student who have takenANSC 4310may not takeAGRI 5340.Prerequisite:Graduate standing."
"AGRI 5341","Contemporary Animal Agriculture Issues","Agricultural Sciences (AGRI)","3 Hours","Students investigate contemporary issues in animal agriculture and the food/meat industry. Primarily using in-depth discussion and debates, students analyze issues from the standpoint of producers, consumers, processors, and societal forces. This course allows students to explore differing viewpoints on an issue and prepare them to encounter these issues in their professional career."
"AGRI 5350","Advanced Principles of Livestock Management","Agricultural Sciences (AGRI)","3 Hours","Students engage in a survey of current knowledge and concepts of beef production with emphasis on the stocker/feedlot segment. Includes feeding, management, marketing and disease control of stocker and feedlot cattle."
"AGRI 5351","Agricultural Biosecurity","Agricultural Sciences (AGRI)","3 Hours","Students study the potential spread and prevalence of contagious organisms, reproductive diseases and contaminants in the agriculture, food, fiber, and natural resource industries. Concepts dealing with isolation, resistance, sanitation, containment, transportation, and food safety issues and potential economic impact to the agricultural industry and others are major topics. Note: Students who have takenAGRI 4350may not takeAGRI 5351.Prerequisite:Graduate Standing."
"AGRI 5360","Contemporary Agricultural Business Issues","Agricultural Sciences (AGRI)","3 Hours","Students analyze and discus current issues in agricultural business with appropriate principles and theories. Issues may include marketing, management, finance, policy, international, legal and ethical topics. Student participation is expected via reports throughout the semester or term reports."
"AGRI 5361","Agricultural Policy","Agricultural Sciences (AGRI)","3 Hours","Students engage in an advanced analysis of government policies and programs important to agriculture. Topics may include: the policy making process and leaders, interest groups, organization and functions of federal and state agencies, policies relevant to production agriculture and natural resources, rural development, consumer and food safety, international marketing and food distribution."
"AGRI 5362","Principles of Crop Protection","Agricultural Sciences (AGRI)","3 Hours","Students study the diagnosis, epidemiology, and control of plant pests. Causative and limiting factors are stressed. Designed for prospective or practicing teachers and technicians in the agro-chemical industry or in federal or state plant pest control agencies."
"AGRI 5369","Special Topics in Advanced Agriculture","Agricultural Sciences (AGRI)","3 Hours","Students examine advanced special topics/issues and (or) subject matter in the field of Agricultural Science. The sub-divisional fields offered are: Agriculture, Animal Science, Agricultural Business, Horticulture and Crop Science, and Agricultural Mechanization. This course may be repeated as topics and subject matter change."
"AGRI 5370","Food and Fiber Crops","Agricultural Sciences (AGRI)","3 Hours","Students study traditional plant breeding techniques and an overview of contemporary crop improvement methods. The physiology, adaptation, classification, taxonomy, and utilization of major crop species used for production of food and fiber are covered. Genetic and environmental influences on crop quality are discussed."
"AGRI 5371","Agricultural Safety & Health","Agricultural Sciences (AGRI)","3 Hours","Students examine the hazards and necessary safety precautions associated with the food, fiber, natural resources and agricultural industry. Control strategies are explored, and prevention methods identified. Hazards examined include machinery, livestock, controlled spaces, pesticides, and other issues common to the food, fiber, natural resources, and agricultural industry. Note: Students who have takenAGRI 4371may not takeAGRI 5371.Prerequisite:Graduate Standing."
"AGRI 5374","Agricultural Statistics","Agricultural Sciences (AGRI)","3 Hours","This course explores applications of statistical methods for making interpretations of qualitative and quantitative data in agricultural research. Topics include sampling and randomization, correlation and regression, methods of inference for means and proportions, and design of experiments. Course Equivalent: STAT 5375."
"AGRI 5379","Advanced Equine Nutrition","Agricultural Sciences (AGRI)","3 Hours","This course is an advanced review of the equine digestive system regarding anatomy, physiology, digestive processes, nutrient requirements, feedstuffs, management, and health care. NOTE: Students who have takenEQSC 4379may not takeAGRI 5379."
"AGRI 5386","Capital Management in Agricultural Business","Agricultural Sciences (AGRI)","3 Hours","Students are provided an in-depth understanding of capital marketing, capital budgeting, financial planning, and appraisal principles important in the field of agribusiness."
"AGRI 5394","Applied Horticultural Science","Agricultural Sciences (AGRI)","3 Hours","Students explore the identification, selection, and use of plants to improve the human environment as well as evaluate problems and create solutions to environments where plants and human interact. In addition, students focus on the soil-water-plant relationship of ornamental plants."
"AGRI 5397","Animal Diseases & Public Health","Agricultural Sciences (AGRI)","3 Hours","Students study diseases shared in nature between animals and man. Emphasis is placed on how these diseases exist in natural environments, modes of transmission, and methods of control and prevention. Students explore infectious agents and the clinical signs that they cause in both humans and animals. Note: Students who have takenANSC 4398may not takeAGRI 5397.Prerequisite:Graduate Standing."
"AGRI 5398","Economics Of Agricultural Production","Agricultural Sciences (AGRI)","3 Hours","Students explore agricultural production principles applied to the use of resources; cost analyses of production enterprises; linear programming of enterprises for maximizing returns; elements of depreciation schedules; evaluation for income tax purposes."
"AGRI 6099","Thesis","Agricultural Sciences (AGRI)","1-3 Hours","In addition to the preliminary study of the techniques of research, this course involves completion of a bibliography, organization of material, selection of a suitable problem, a digest of related literature, selection of appropriate procedures, formulation of a plan of investigating and reporting, collection and organization of data, and the writing of the thesis. Variable Credit (3 hrs first semester; 1 hour subsequent semesters). Grade is either Credit or No Credit.     Course Equivalents: AGRI 6399 ."
"AGRI 6140","Graduate Seminar","Agricultural Sciences (AGRI)","1 Hour","This course is designed to provide students a forum for presentation of their graduate project and to provide an opportunity for faculty to present seminars relative to contemporary issues in agriculture. The project is an agreement between student and his/her committee. Course cannot be repeated.  Grade is either Credit or No Credit.Prerequisite:AGRI 5375 orSTAT 5360."
"AGRI 6350","Techniques & Interpretation of Agricultural Research","Agricultural Sciences (AGRI)","3 Hours","A course designed to develop the competencies needed to interpret and utilize agricultural research. Topics will include: the philosophy of the scientific method, formats for agricultural research data, interpretation of data, and application of information to specific situations.Prerequisite:STAT 5360."
"AGRI 6398","Thesis","Agricultural Sciences (AGRI)","3 Hours","In addition to the preliminary study of the techniques of research, these courses involve completion of a bibliography, organization of material, selection of a suitable problem, a digest of related literature, selection of appropriate procedures, formulation of a plan of investigating and reporting, collection and organization of data, and the writing of the thesis. Grade is either Credit or No Credit."
"AGED 5364","Advanced Problems in Agriculture Education","Agriculture Education (AGED)","3 Hours","A directed individual investigation of advanced problems in Career and Technology Education."
"AGED 5376","Personal Leadership & Organizational Dynamics","Agriculture Education (AGED)","3 Hours","(SH Prior Course ID: AED 576); Concepts and practices in planning and presenting materials to agricultural groups. Includes leadership skills, concepts of community development, and dynamics of technological change."
"AGED 5388","Secondary Agricultural Education Program Management","Agriculture Education (AGED)","3 Hours","Students focus on developing and managing the youth leadership aspect of Agriculture, Food, and Natural Resources programs in public schools. Students examine leadership and career development events, agricultural education record book documentation system, Program of Activity development, financial management, student and chapter awards, community partnerships, program evaluation, and student management during extracurricular activities."
"AGED 5393","Methods of Teaching Agricultural Education","Agriculture Education (AGED)","3 Hours","Students study the professional competencies required for the teaching of agricultural education. Included is the development of curriculum and occupational education programs as well as evaluation of teaching techniques, procedures, and resource materials. Methods of teaching students with disabilities are discussed. Note: Students who have takenAGED 4364may not takeAGED 5393.Prerequisite:Graduate Standing."
"AGED 5394","Agricultural Education Learning Environments","Agriculture Education (AGED)","3 Hours","Students examine classroom management and discipline approaches appropriate in secondary agricultural education (AGED) classrooms and laboratories. Proactive and preventative measures are discussed to ensure student safety and a successful learning environment. Note: Students who have takenAGED 4394may not takeAGED 5394.Prerequisite:Graduate Standing."
"ANAT 7801","Clinical Anatomy","Anatomy (ANAT)","8 Hours","Students explore integrated gross and microscopic human anatomy including a regional focus on embryological development. Laboratory cadaveric dissection, virtual microscopy, radiological imaging, and models are all utilized as learning tools. Students will apply knowledge of the anatomical sciences to understand clinical correlates."
"ARTS 5079","Independent Study","Art (ARTS)","1-3 Hours","Students in this course conduct supervised exploration of a specialized interest or pursue enhanced skills. It is designed specifically for advanced students who are capable of independent research and/or creative activity. Variable Credit (1 to 3).Prerequisite:Approval of instructor and department."
"ARTS 5311","Studio Critique","Art (ARTS)","3 Hours","Students explore and begin producing a body of work. Weekly group critiques allow students to develop their work while providing a forum for peer review and discussion of critical theory, as well as social, political, and aesthetic aspects of their practice."
"ARTS 5312","Studio Seminar","Art (ARTS)","3 Hours","Students focus on socially and community engaged art practices. Each semester, the course will focus on a topic related to current theories of contemporary art and social practices. Topics will rotate and vary from semester to semester. Group discussions and individual research on the semester topic will serve as the conceptual and ideological catalyst for the creative work produced in the seminar."
"ARTS 5313","Teaching Seminar in Art","Art (ARTS)","3 Hours","Students examine teaching pedagogy in higher education. Curriculum development, syllabi development, assessment, and educational objectives will be viewed with a focus on art education and visual culture. This is a required course to prepare students for graduate teaching assistantship opportunities in the Department of Art."
"ARTS 5315","Professional & Social Practice","Art (ARTS)","3 Hours","Students pursue professional artistic endeavors, including portfolio development and presentation, grant writing, and exhibitions. Emphasis is placed on developing proposals for projects and exhibitions that emphasize community engagement and participation. Students in the course will organize and promote public exhibition of their work."
"ARTS 5381","Socially Engaged Art","Art (ARTS)","3 Hours","Students consider art, its social contexts, and its engagement with social systems. Socially Engaged Art may incorporate the community, networks of people within a community, political and/or social activism, participation, relationships between people and/or organizations, and include transdisciplinary work that considers societal relations. It will consider the origins and history of socially engaged art as well as its contemporary manifestations."
"ARTS 5385","Contemporary Art and Theory","Art (ARTS)","3 Hours","Students examine art from late twentieth century onward. Particular focus is granted to ongoing work by significant artists and scholars. Class lectures and discussions alternate between chronological and thematic treatments of contemporary art, and also consider major theories and histories."
"ARTS 6079","Special Topic","Art (ARTS)","1-3 Hours","This course provides opportunities for special topic courses within the Department of Art. May be repeated for credit.  Prerequisite: Instructor approval.  Variable Credit (1 to 3).Prerequisite:Instructor Approval ."
"ARTS 6311","Collaborative Studio","Art (ARTS)","3 Hours","Students focus on the exploration and production of a body of work leading up to their thesis project. Students will develop and complete projects that require collaboration with other artists in the program, or with other disciplines, to expand their practices. Weekly group critiques will allow students to develop their work while providing a forum for peer review.Prerequisite:ARTS 5312andARTS 5381."
"ARTS 6312","Community Seminar","Art (ARTS)","3 Hours","Students pursue the development of a body of creative work through partnerships with community organizations or experiences. Students develop projects that relate to community issues by working with community organizations or creating innovative community-based projects that result in public presentations or exhibitions.Prerequisite:ARTS 5311andARTS 5381."
"ARTS 6313","Studio Critique II","Art (ARTS)","3 Hours","Students continue to develop their studio practice and refine art and social practice projects working towards their theses. Group and individual critiques will provide a forum for faculty feedback, peer review, and discussions of advanced critical theory, as well as social and political aspects of their practice.Prerequisite:ARTS 5311."
"ARTS 6381","Research Methods in Art","Art (ARTS)","3 Hours","Students critically explore approaches and methodologies in studio art research. A variety of research perspectives are considered, with an emphasis on student-conducted research. Students investigate historical, theoretical, and technical aspects of research in an artistic context and develop practices of documenting, disclosing, and disseminating their research.Prerequisite:ARTS 5381andARTS 5385."
"ARTS 6385","Seminar in Art History","Art (ARTS)","3 Hours","Students study and analyze different Art History topics each semester. Rotating topics focus on different eras and locations; students analyze those periods and incorporate them into their practices.Prerequisite:ARTS 5385."
"ARTS 6398","Thesis Project I","Art (ARTS)","3 Hours","Students write a thesis proposal articulating their artistic practice and outlining plans for a thesis exhibition to be completed inARTS 6399: Thesis Project II. The theoretical foundation of their project is emphasized, alongside the project's context within art history and the student's creative development. Students will complete a Catalog Project for publication in a catalog to accompany the exhibition completed inARTS 6399.Prerequisite:ARTS 6381and Departmental Approval."
"ARTS 6399","Thesis Project II","Art (ARTS)","3 Hours","Students complete the thesis project developed inARTS 6398and exhibit a body of work in the thesis exhibition. The completed thesis describes the conceptual foundation of the student's artistic practice and its relation and significance to society and the community. The thesis exhibition is demonstrative of the written thesis.Prerequisite:ARTS 6398."
"ATTR 5111","Lower Extremity Injuries Lab","Athletic Training (ATTR)","1 Hour","Students apply practical skills in the areas of evaluation, diagnosis, care, and referral of lower-extremity musculoskeletal pathologies. Course content includes evaluation skills and clinical decision-making that allow for the development of a clinical diagnosis, appropriate referral strategy, and a plan of care for lower-extremity injuries and conditions.   Co-requisite:ATTR 5311.Prerequisite:ATTR 5310."
"ATTR 5112","Upper Extremity Injuries Lab","Athletic Training (ATTR)","1 Hour","Students apply practical skills in the areas of evaluation, diagnosis, care, and referral of upper-extremity orthopedic injuries. Course content includes evaluation skills and clinical decision-making that allows for the development of clinical diagnoses procedures including the assessment of various musculoskeletal conditions, the selection of appropriate referral strategies, and the development of plans of care for upper-extremity injuries and conditions.   Co-requisite:ATTR 5312.Prerequisite:ATTR 5310,ATTR 5311, andATTR 5111."
"ATTR 5115","Non-Orthopedic Pathologies Lab","Athletic Training (ATTR)","1 Hour","Students apply practical skills and techniques required to assess, manage, and refer non-orthopedic pathologies that occur in active populations. Course content includes evaluation skills and clinical decision-making that allow for the development of clinical diagnoses procedures including the assessment of various non-orthopedic conditions, the selection of appropriate referral strategies, and the development of plans of care for the conditions that may occur in the cardiovascular, respiratory, endocrine, gastrointestinal, genitourinary, integumentary, and reproductive body systems.   Co-requisite:ATTR 5315.Prerequisite:ATTR 5300,ATTR 5310, andATTR 5320."
"ATTR 5121","Prehospital Emergency Medicine and Acute Care Lab","Athletic Training (ATTR)","1 Hour","Students perform the skills necessary to function as both an EMT–Basic and a Certified Athletic Trainer (ATC). Students practice skills to provide care and transport for critical and emergent patients as part of an emergency medical team. Students will use specific systems that both EMTs and Athletic Trainers employ in the field. Upon completion of this course, students will be eligible to sit for the National Registry Certification for Emergency Medical Technician – Basic (NREMT-B).Prerequisite:Graduate Standing."
"ATTR 5130","Therapeutic Intervention I Lab","Athletic Training (ATTR)","1 Hour","Students apply practical skills in the application of skills in the areas of therapeutic exercise and therapeutic medications used to treat impairments due to injury or illness. This laboratory includes instruction, practice, and evaluation of clinical skills related therapeutic interventions in the treatment of pain and deficiencies in movement, strength, endurance, speed, neuromuscular control, coordination, agility, cardiorespiratory fitness, and activity specific skills.   Co-requisite:ATTR 5330."
"ATTR 5131","Therapeutic Intervention II Lab","Athletic Training (ATTR)","1 Hour","Students apply practical skills in the areas of therapeutic modalities and manual therapies used to treat impairments due to injury or illness. Students demonstrate skills related to cryotherapy, thermotherapy, electrical stimulations, ultrasound, diathermy, light therapy, low level laser, traction, intermittent compression, and manual therapies.  Co-requisite:ATTR 5331."
"ATTR 5140","Clinical Experiences in Athletic Training IV","Athletic Training (ATTR)","1 Hour","Students demonstrate skill proficiency in practice settings under the supervision and guidance of a clinical preceptor. Clinical skills practiced and evaluated in the course include injury prevention and protective strategies, care and management of acute injuries and emergency situations, assessment of lower and upper extremity pathologies, assessment of head, face, spine and pelvis injuries, and integration of therapeutic interventions. This course prepares students for the level-two designation to enable them to practice skills in real-patient contexts. The clinical placement of students must be coordinated and approved by the Athletic Training Coordinator of Clinical Education. This course requires a minimum of 200 clinical education hours. Students cannot progress to the subsequent level in the Master of Science in Athletic Training Program until all course program retention requirements are met.    Course Equivalents: ATTR 5240Prerequisite:Admission to the Athletic Training Program,ATTR 5450,ATTR 5314,KINE 5374, andHLTH 5378."
"ATTR 5210","Clinical Experiences in Athletic Training I","Athletic Training (ATTR)","2 Hours","Students demonstrate skill proficiency in a practice setting under the supervision and guidance of a clinical preceptor. Clinical skills practiced and evaluated in the course include injury prevention and protective strategies, care and management of acute injuries and emergency situations, and assessment of lower extremity pathologies. This course prepares students for the level-one designation to enable them to practice skills in real-patient contexts. The clinical placement of students must be coordinated and approved by the Athletic Training Coordinator of Clinical Education. This course requires 200 clinical education hours. Students cannot progress to the subsequent level in the Master of Science in Athletic Training Program until all course program retention requirements are met.Prerequisite:Admission to the Athletic Training Program,ATTR 5300,ATTR 5310,ATTR 5320."
"ATTR 5220","Clinical Experiences in Athletic Training II","Athletic Training (ATTR)","2 Hours","Students demonstrate skill proficiency in practice settings under the supervision and guidance of a clinical preceptor. Clinical skills practiced and evaluated in the course include injury prevention and protective strategies, care and management of acute injuries and emergency situations, assessment of lower and upper extremity pathologies, and integration of therapeutic modalities and medications. This course prepares students for the level-one designation to enable them to practice skills in real-patient contexts. The clinical placement of students must be coordinated and approved by the Athletic Training Coordinator of Clinical Education. This course requires a minimum of 200 clinical education hours. Students cannot progress to the subsequent level in the Master of Science in Athletic Training Program until all course program retention requirements are met.Prerequisite:Admission to the Athletic Training Program,ATTR 5210,ATTR 5311,ATTR 5111,ATTR 5330, andATTR 5130."
"ATTR 5230","Clinical Experiences in Athletic Training III","Athletic Training (ATTR)","2 Hours","Students demonstrate skill proficiency in practice settings under the supervision and guidance of a clinical preceptor. Clinical skills practiced and evaluated in the course include injury prevention and protective strategies, care and management of acute injuries and emergency situations, assessment of lower and upper extremity pathologies, assessment of head and face injuries, and integration of therapeutic interventions. This course prepares students for the level-two designation to enable them to practice skills in real-patient contexts. The clinical placement of students must be coordinated and approved by the Athletic Training Clinical Education Coordinator prior to beginning the required 250 hours of the clinical experience.Prerequisite:Admission to the Athletic Training Program,ATTR 5220,ATTR 5331,ATTR 5131, andATTR 5313."
"ATTR 5300","Injury Prevention and Protective Strategies","Athletic Training (ATTR)","3 Hours","Students examine athletic training through a public health lens and explore injury prevention and protection through data collection and implementation of evidence-based strategies. Course content includes strategies used in athletic training such as the application of protective equipment, taping, bracing, splinting, and casting."
"ATTR 5310","Clinical Evaluation and Assessment Fundamentals","Athletic Training (ATTR)","3 Hours","Students learn skills required for the effective palpation of anatomical structures, assessment of range of motion and strength, neurological screens, and functional assessment screens including qualitative postural and gait analysis. The skills, techniques, and processes taught in the course prepare students for successful completion of clinical examinations."
"ATTR 5311","Lower Extremity Injuries","Athletic Training (ATTR)","3 Hours","Students learn the skills and techniques required to conduct a patient evaluation, develop a clinical diagnosis, refer the patient to appropriate health care providers, and design a plan of care for patients with common lower-extremity injuries and conditions.   Co-requisite:ATTR 5111.Prerequisite:ATTR 5310."
"ATTR 5312","Upper Extremity Injuries","Athletic Training (ATTR)","3 Hours","Students participate in a comprehensive overview of common musculoskeletal injuries and conditions related to the anatomical upper-extremity including the shoulder, elbow, wrist, hand, and fingers. Course content includes the proper evaluative procedures and assessments of various pathologies, the development of clinical diagnoses, the appropriate referral of patients, and the formation of plans of care for common upper-extremity injuries and conditions.   Co-requisite:ATTR 5112.Prerequisite:ATTR 5310,ATTR 5311, andATTR 5111."
"ATTR 5313","Head and Facial Injuries in Sport","Athletic Training (ATTR)","3 Hours","Students examine head and facial injuries and related pathologies experienced in sport and exercise contexts. Course content focuses on the impact of guiding laws, rules, and current scientific evidence that influence the assessment, care, and return to activity decisions for patients.Prerequisite:ATTR 5300,ATTR 5310, andATTR 5320."
"ATTR 5314","Spine and Pelvis Injuries","Athletic Training (ATTR)","3 Hours","Students develop the skills and techniques required to assess and manage injuries to the spine, thorax, abdomen, and pelvis. Students perform patient evaluations and interventions to care for the spine and pelvic injuries most often associated with athletic injuries.Prerequisite:ATTR 5310,ATTR 5311,ATTR 5111,ATTR 5312,ATTR 5112, andATTR 5313."
