courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAS 103,First Year Social Science Seminar,3,AAS,Undergraduate,
AAS 115,Elementary Swahili I,4,AAS,Undergraduate,
AAS 125,Elementary Yoruba I,4,AAS,Undergraduate,
AAS 200,Introduction to African Studies,3,AAS,Undergraduate,
AAS 202,Introduction to African Diasporic Studies,3,AAS,Undergraduate,
AAS 210,/ MUSIC 210. Introduction to Rap Songwriting,,AAS,Undergraduate,
AAS 215,Intermediate Swahili I,4,AAS,Undergraduate,
AAS 225,Intermediate Yoruba I,4,AAS,Undergraduate,
AAS 231,"/ HISTORY 275. Survey of Afro-American History, II",3,AAS,Undergraduate,
AAS 246,/ HISTORY 246. Africa to 1850,,AAS,Undergraduate,
AAS 248,"Crime, Race, and the Law",3,AAS,Undergraduate,
AAS 251,"Law, Race, and the Historical Process, II",3,AAS,Undergraduate,
AAS 260,The Political Economy of African Development,3,AAS,Undergraduate,
AAS 262,/ HISTORY 272. 20th Century African-American Social Movements,,AAS,Undergraduate,
AAS 275,/ WGS 275. Black women in Popular Culture,4,AAS,Undergraduate,
AAS 303,/ SOC 303. Race and Ethnic Relations,,AAS,Undergraduate,
AAS 309,Global Health in African Contexts,3,AAS,Undergraduate,
AAS 316,Advanced Swahili II,3,AAS,Undergraduate,
AAS 319,The Black Church,3,AAS,Undergraduate,
AAS 322,"/ ENVIRON 335. Introduction to Environment Politics: Race, Class, and Gender",,AAS,Undergraduate,
AAS 324,"Dealing with the Past and Doing Justice in Africa: South Africa, Rwanda, Sierra Leone",3,AAS,Undergraduate,
AAS 329,/ ENGLISH 334 / WGS 325. Writing Sex: Contemporary Black Women Writers,3,AAS,Undergraduate,
AAS 331,/ PSYCH 316. The World of the Black Child,3,AAS,Undergraduate,
AAS 338,/ ENGLISH 379. Literature in Afro-American Culture,3,AAS,Undergraduate,
AAS 342,/ RCSID 342 / RCSTP 342. From the Underground to Motown: A Course on Detroit's History,3,AAS,Undergraduate,
AAS 347,/ RCSTP 343 / SOC 335. Urban Inequality in America,,AAS,Undergraduate,
AAS 353,/ ANTHRCUL 353. Urban Ethnography and the Black Experience,3,AAS,Undergraduate,
AAS 357,Environmental Governance and African Development,3,AAS,Undergraduate,
AAS 359,/ POLSCI 359. African Politics,,AAS,Undergraduate,
AAS 363,/ INTLSTD 360 / POLSCI 360. Politics of International Aid,4,AAS,Undergraduate,
AAS 367,Africanist Dance Traditions: From Minstrelsy to Hip Hop,3,AAS,Undergraduate,
AAS 384,/ AMCULT 376 / ENGLISH 384. Caribbean Literature,3,AAS,Undergraduate,
AAS 392,"/ AMCULT 392 / WGS 392. Mad, Bad, and Sad: Mental Health in the U.S.",3,AAS,Undergraduate,
AAS 395,/ GERMAN 396 / HISTORY 396. Germany and the Black Diaspora,3,AAS,Undergraduate,
AAS 410,Supervised Reading and Research,1-6,AAS,Undergraduate,
AAS 421,/ HISTORY 421 / LACS 421 / RELIGION 421. Religions of the African Diaspora,3,AAS,Undergraduate,
AAS 441,/ INTLSTD 441 / POLSCI 441. Political Violence in Africa,3,AAS,Undergraduate,
AAS 453,"Culture, Class, and Conflict in Southern Africa",3,AAS,Undergraduate,
AAS 464,/ MUSICOL 464. Music of Latin America and the Caribbean,3,AAS,Undergraduate,
AAS 482,Black Queer Theory,3,AAS,Undergraduate,
AAS 495,Senior Seminar,4,AAS,Undergraduate,
AAS 558,Seminar in Black World Studies,3,AAS,Undergraduate,
AERO 101,Heritage and Values of the United States Air Force I,1,AERO,Undergraduate,
AERO 201,/ UC 201. Team and Leadership Fundamentals I,1,AERO,Undergraduate,
AERO 310,/ UC 307. Leading People and Effective Communication I,3,AERO,Undergraduate,
AERO 410,National Security Affairs/Preparation for Active Duty I,,AERO,Undergraduate,
ALA 101,A User's Guide to the Liberal Arts,1-2,ALA,Undergraduate,
ALA 103,Michigan Community Scholars Program: Academic Decision Making,1,ALA,Undergraduate,
ALA 105,Digital Research: Critical Concepts and Strategies,1,ALA,Undergraduate,
ALA 107,Women in Science and Engineering Residence Program Seminar,1,ALA,Undergraduate,
ALA 109,Perspectives on Health Care,1-3,ALA,Undergraduate,
ALA 111,Kessler First-Year Seminar,1,ALA,Undergraduate,
ALA 115,The Financially Savvy Student,,ALA,Undergraduate,
ALA 119,/ SI 110 / STS 110. Introduction to Information Studies,,ALA,Undergraduate,
ALA 123,Pop Culture and Social Media: An Introduction to Intergroup Relations,3,ALA,Undergraduate,
ALA 151,First-Year Seminar in the Social Sciences,3,ALA,Undergraduate,
ALA 164,Interdisciplinary Studies Topics in ALA,1-4,ALA,Undergraduate,
ALA 171,Making the Most of Michigan,,ALA,Undergraduate,
ALA 180,/ PSYCH 110. Enhancing Study Habits,,ALA,Undergraduate,
ALA 209,International Perspectives on Health and Health Care Topics,2-4,ALA,Undergraduate,
ALA 211,Addressing Critical Global Issues,2,ALA,Undergraduate,
ALA 215,Financially Savvy for the Future,2,ALA,Undergraduate,
ALA 220,/ PSYCH 213 / SOC 218. Foundations of Intergroup Relations,3,ALA,Undergraduate,
ALA 223,/ PSYCH 223. Entrepreneurial Creativity,3,ALA,Undergraduate,
ALA 240,Living Well in College and Beyond for Developing Leaders,2,ALA,Undergraduate,
ALA 251,/ PUBHLTH 250. On Purpose: Designing and Living a Big Life,,ALA,Undergraduate,
ALA 257,Social Impact by Design,3,ALA,Undergraduate,
ALA 259,Religious and Ethnic Tolerance,3,ALA,Undergraduate,
ALA 264,Interdisciplinary Topics in ALA,1-4,ALA,Undergraduate,
ALA 270,Applied Liberal Arts Topics,1-3,ALA,Undergraduate,
ALA 280,Undergraduate Research,1-4,ALA,Undergraduate,
ALA 295,Foundations of the Liberal Arts,3,ALA,Undergraduate,
ALA 298,Inside the Local Music Community,,ALA,Undergraduate,
ALA 320,/ PSYCH 310 / SOC 320. Processes of Intergroup Dialogues Facilitation,3,ALA,Undergraduate,
ALA 322,/ PSYCH 324 / SOC 324. Advanced Practicum in Intergroup Relations,1-4,ALA,Undergraduate,
ALA 324,/ EDUC 325. Facilitation in Community Settings,3,ALA,Undergraduate,
ALA 350,Predicting the Future,3,ALA,Undergraduate,
ALA 380,Let's Talk Undergraduate Research: Communicating Scholarly Inquiry Within Academia and Beyond,1-4,ALA,Undergraduate,
ALA 429,/ PSYCH 411 / SOC 471. IGR Senior Capstone: Social Justice in the Real World,3,ALA,Undergraduate,
ALA 471,Leadership and Facilitation in Community Building,1-3,ALA,Undergraduate,
AMAS 103,First Year Seminar in Arab American Studies,3,AMAS,Undergraduate,
AMAS 215,/ AMCULT 215 / MIDEAST 275. Introduction to Arab-American Studies,4,AMAS,Undergraduate,
AMAS 310,Arab American Studies and the Social Sciences,3,AMAS,Undergraduate,
AMAS 356,/ AMCULT 356 / RCSTP 359. Law and Border,3,AMAS,Undergraduate,
AMAS 384,/ AMCULT 384. Islamophobia,3,AMAS,Undergraduate,
AMAS 390,Internship in Arab and Muslim American Studies,6,AMAS,Undergraduate,
AMCULT 103,First Year Seminar in American Studies,3,AMCULT,Undergraduate,
AMCULT 202,/ DIGITAL 202. Digital Culture,,AMCULT,Undergraduate,
AMCULT 204,Themes in American Culture,,AMCULT,Undergraduate,
AMCULT 212,"Motor Nation: Car Cultures, Race, and Gender",,AMCULT,Undergraduate,
AMCULT 214,/ ASIANPAM 214. Introduction to Asian/Pacific American Studies,3-4,AMCULT,Undergraduate,
AMCULT 216,/ AMAS 216. Introduction to American Muslims,3,AMCULT,Undergraduate,
AMCULT 221,/ SOC 221. Social Inequality,,AMCULT,Undergraduate,
AMCULT 223,/ NATIVEAM 223. Elementary Ojibwe II,,AMCULT,Undergraduate,
AMCULT 227,/ LING 130 / NATIVEAM 230. Language and Animal Communication,3,AMCULT,Undergraduate,
AMCULT 238,Early American Cultural History,3,AMCULT,Undergraduate,
AMCULT 243,/ LATINOAM 243 / WGS 243. Latina Women in the U.S.,,AMCULT,Undergraduate,
AMCULT 255,"/ JUDAIC 225 / WGS 255. Religion, Women, and Gender",3,AMCULT,Undergraduate,
AMCULT 270,/ HISTORY 270. Religion in America,4,AMCULT,Undergraduate,
AMCULT 280,/ ITALIAN 240. Italian Mafia,4,AMCULT,Undergraduate,
AMCULT 289,/ HISTORY 289. The United States in the World,,AMCULT,Undergraduate,
AMCULT 300,Practices of American Culture,3,AMCULT,Undergraduate,
AMCULT 302,/ RCSTP 302 / STS 302. Contemporary Social and Cultural Theory,4,AMCULT,Undergraduate,
AMCULT 305,/ ASIANPAM 305. Community Service and Learning,3,AMCULT,Undergraduate,
AMCULT 308,/ HISTORY 315. American Constitutional History,,AMCULT,Undergraduate,
AMCULT 311,American Culture and the Humanities,1-4,AMCULT,Undergraduate,
AMCULT 314,/ ASIANPAM 314 / HISTORY 378. History of Asian Americans in the U.S.,,AMCULT,Undergraduate,
AMCULT 318,/ GREEKMOD 318. Greek-American Culture,3,AMCULT,Undergraduate,
AMCULT 321,/ PSYCH 325. Detroit Initiative,1-4,AMCULT,Undergraduate,
AMCULT 323,/ NATIVEAM 323. Intermediate Ojibwe II,,AMCULT,Undergraduate,
AMCULT 328,/ ENGLISH 382 / NATIVEAM 328. Studies in Native American Literature,3,AMCULT,Undergraduate,
AMCULT 338,/ HISTORY 338 / NATIVEAM 338. Topics in Native American History,,AMCULT,Undergraduate,
AMCULT 342,/ HISTORY 368 / WGS 360. History of the Family in the U.S.,,AMCULT,Undergraduate,
AMCULT 348,/ HISTORY 346. History of American Radicalism,,AMCULT,Undergraduate,
AMCULT 350,/ THTREMUS 315. Broadway and American Culture,,AMCULT,Undergraduate,
AMCULT 356,/ AMAS 356 / RCSTP 359. Law and Border,3,AMCULT,Undergraduate,
AMCULT 359,/ ASIANPAM 359. South Asian Diaspora in America,3,AMCULT,Undergraduate,
AMCULT 367,/ HISTORY 367 / NATIVEAM 367. Voices of the First Nations: American Indian History,,AMCULT,Undergraduate,
AMCULT 369,/ HISTORY 369. The History of U.S. Mass Culture From Minstrelsy to Hip Hop,,AMCULT,Undergraduate,
AMCULT 373,/ HISTORY 373 / LATINOAM 373 / NATIVEAM 373. History of the U.S. West,,AMCULT,Undergraduate,
AMCULT 375,"/ HISTORY 370 / WGS 370. Queer Histories of the United States, 1850 to the Present",,AMCULT,Undergraduate,
AMCULT 377,Culture Corps Internship Preparation,2,AMCULT,Undergraduate,
AMCULT 382,/ AMAS 378 / ENGLISH 378 / ISLAM 378. Muslim and Arab Literatures,3,AMCULT,Undergraduate,
AMCULT 384,/ AMAS 384. Islamophobia,3,AMCULT,Undergraduate,
AMCULT 388,Field Study,1-4,AMCULT,Undergraduate,
AMCULT 391,/ RCHUMS 341 / RCSTP 341. Community Empowerment Through the Arts,4,AMCULT,Undergraduate,
AMCULT 393,Critical University Studies,,AMCULT,Undergraduate,
AMCULT 397,/ LATINOAM 307 / RCSTP 307. Spanish Language Internship Project,3,AMCULT,Undergraduate,
AMCULT 404,/ LATINOAM 404 / SOC 404. Latinas/os in the U. S.: Social Problems and Social Issues,3,AMCULT,Undergraduate,
AMCULT 410,/ DIGITAL 410 / SI 410 / STS 410. Ethics and Information Technology,,AMCULT,Undergraduate,
AMCULT 426,/ HISTORY 426. Violence and (De)Colonization,3,AMCULT,Undergraduate,
AMCULT 489,Senior Essay,3,AMCULT,Undergraduate,
AMCULT 498,Capstone Seminar in American Culture,,AMCULT,Undergraduate,
ANATOMY 541,/ NEURO 532 / PHYSIOL 541 / PSYCH 532. Mammalian Reproductive Physiology,,ANATOMY,Undergraduate,
ANTHRARC 180,First-Year Seminar in Anthropological Archaeology,3,ANTHRARC,Undergraduate,
ANTHRARC 281,/ MATSCIE 281. Making Things: Three Million Years of Materials and Culture,,ANTHRARC,Undergraduate,
ANTHRARC 284,"Aztec, Maya, and Inca Civilizations",4,ANTHRARC,Undergraduate,
ANTHRARC 296,Topics in Archaeology,3,ANTHRARC,Undergraduate,
ANTHRARC 384,/ MIDEAST 337. Ancient Mesopotamia: History and Culture,,ANTHRARC,Undergraduate,
ANTHRARC 386,Early Civilizations,,ANTHRARC,Undergraduate,
ANTHRARC 392,Archaeology Underwater,3,ANTHRARC,Undergraduate,
ANTHRARC 399,Honors in Anthropological Archaeology,3,ANTHRARC,Undergraduate,
ANTHRARC 482,Topics in Anthropological Archaeology,3,ANTHRARC,Undergraduate,
ANTHRARC 495,Archaeological Systematics,3,ANTHRARC,Undergraduate,
ANTHRARC 499,Undergraduate Reading and Research in Anthropology,1-3,ANTHRARC,Undergraduate,
ANTHRBIO 133,/ COMPFOR 133 / ENVIRON 133. Fundamentals of Scientific Computing in R,3,ANTHRBIO,Undergraduate,
ANTHRBIO 168,First-Year Seminar in Primate Field Studies,3,ANTHRBIO,Undergraduate,
ANTHRBIO 297,Topics in Biological Anthropology,3,ANTHRBIO,Undergraduate,
ANTHRBIO 362,/ EEB 362 / ENVIRON 362. Primate Evolutionary Ecology,4,ANTHRBIO,Undergraduate,
ANTHRBIO 365,Human Evolution,4,ANTHRBIO,Undergraduate,
ANTHRBIO 368,/ PSYCH 338. Primate Behavior,4,ANTHRBIO,Undergraduate,
ANTHRBIO 370,U.G. Reading and Research in Anthropology,1-3,ANTHRBIO,Undergraduate,
ANTHRBIO 373,Humans and Environmental Change,3,ANTHRBIO,Undergraduate,
ANTHRBIO 399,Honors in Biological and Evolutionary Anthropology,3,ANTHRBIO,Undergraduate,
ANTHRBIO 463,/ ENVIRON 473 / PSYCH 463. Statistical Modeling and Data Visualization in R,4,ANTHRBIO,Undergraduate,
ANTHRBIO 465,Primate Functional Anatomy,3,ANTHRBIO,Undergraduate,
ANTHRBIO 471,Research in Biological Anthropology,1-4,ANTHRBIO,Undergraduate,
ANTHRBIO 476,Evolution of the Human Diet,3,ANTHRBIO,Undergraduate,
ANTHRCUL 101,Introduction to Anthropology,4,ANTHRCUL,Undergraduate,
ANTHRCUL 222,The Comparative Study of Cultures,,ANTHRCUL,Undergraduate,
ANTHRCUL 237,Digital Futures: Media Technologies and Social Transformation Around the World,4,ANTHRCUL,Undergraduate,
ANTHRCUL 246,/ ISLAM 246 / RELIGION 246. Anthropology of Religion,4,ANTHRCUL,Undergraduate,
ANTHRCUL 254,The Anthropology of Food,4,ANTHRCUL,Undergraduate,
ANTHRCUL 272,/ LING 272. Language in Society,4,ANTHRCUL,Undergraduate,
ANTHRCUL 298,Topics in Sociocultural Anthropology,,ANTHRCUL,Undergraduate,
ANTHRCUL 314,/ AMCULT 313 / LATINOAM 313. Cuba and its Diaspora,3,ANTHRCUL,Undergraduate,
ANTHRCUL 319,Latin American Society and Culture,3,ANTHRCUL,Undergraduate,
ANTHRCUL 325,/ WGS 324. Childbirth & Culture,4,ANTHRCUL,Undergraduate,
ANTHRCUL 330,"Culture, Thought, and Meaning",4,ANTHRCUL,Undergraduate,
ANTHRCUL 337,"Death, Dying and the Afterlife",4,ANTHRCUL,Undergraduate,
ANTHRCUL 342,/ ANTHRBIO 342. Nature/Culture Now!,4,ANTHRCUL,Undergraduate,
ANTHRCUL 348,/ INTLSTD 381 / MIDEAST 381. Anthropology of Islam,3,ANTHRCUL,Undergraduate,
ANTHRCUL 352,Anthropology of the Body,3,ANTHRCUL,Undergraduate,
ANTHRCUL 355,/ AAS 355 / HISTORY 355. Health and Illness in African Worlds,,ANTHRCUL,Undergraduate,
ANTHRCUL 357,Seminar in Sociocultural Anthropology,,ANTHRCUL,Undergraduate,
ANTHRCUL 365,"/ AAS 365 / WGS 365. Global Perspectives on Gender, Health, and Reproduction",3,ANTHRCUL,Undergraduate,
ANTHRCUL 374,/ LING 374. Language and Culture,4,ANTHRCUL,Undergraduate,
ANTHRCUL 406,/ ASIAN 406 / INTLSTD 406. Urban Asia in the Twenty-First Century,3,ANTHRCUL,Undergraduate,
ANTHRCUL 430,"/ HISTORY 430 / MIDEAST 480. History, Memory, and Silence in the Middle East",3,ANTHRCUL,Undergraduate,
ANTHRCUL 437,Afterlives of Conviction,3,ANTHRCUL,Undergraduate,
ANTHRCUL 442,Ethnography Lab,3,ANTHRCUL,Undergraduate,
ANTHRCUL 446,/ WGS 446. Sex and the City: Urban Geography and Sexual Locations,3,ANTHRCUL,Undergraduate,
ANTHRCUL 450,"Anthropologies of Insurgency: Bandits, Rebels and Freedom Fighters",3,ANTHRCUL,Undergraduate,
ANTHRCUL 458,Topics in Sociocultural and Linguistic Anthropology,3,ANTHRCUL,Undergraduate,
ANTHRCUL 471,/ LING 471. Face-to-Face Interaction,3,ANTHRCUL,Undergraduate,
ANTHRCUL 476,"Body Talk, Body Politics",3,ANTHRCUL,Undergraduate,
ANTHRCUL 498,Honors in Sociocultural and Linguistic Anthropology,3,ANTHRCUL,Undergraduate,
ANTHRCUL 553,"Blurred Genres: Autobiography, Fiction & Ethnography",3,ANTHRCUL,Undergraduate,
ANTHRCUL 577,Language as Social Action,3,ANTHRCUL,Undergraduate,
APPPHYS 530,/ ECE 530. Electromagnetic Theory I,3,APPPHYS,Undergraduate,
APPPHYS 541,/ ECE 541. Applied Quantum Mechanics II,3,APPPHYS,Undergraduate,
ARABIC 101,Elementary Arabic I,5,ARABIC,Undergraduate,
ARABIC 103,Intensive Elementary Arabic I and II,,ARABIC,Undergraduate,
ARABIC 122,Classical Arabic II,5,ARABIC,Undergraduate,
ARABIC 202,Intermediate Arabic II,5,ARABIC,Undergraduate,
ARABIC 221,Qur'anic and Classical Arabic III,5,ARABIC,Undergraduate,
ARABIC 401,Advanced Arabic I,5,ARABIC,Undergraduate,
ARABIC 422,Medical Arabic: Communication Skills for Healthcare Professionals,4,ARABIC,Undergraduate,
ARABIC 426,Levantine Arabic II,4,ARABIC,Undergraduate,
ARABIC 501,Advanced Arabic Conversation and Composition,3,ARABIC,Undergraduate,
ARABIC 504,Advanced Arabic Media I,4,ARABIC,Undergraduate,
ARABIC 507,/ LING 433. Arabic Syntax and Semantics,3,ARABIC,Undergraduate,
ARABIC 509,Arabic Second Language Acquisition,3,ARABIC,Undergraduate,
ARCH 212,/ HISTART 212. Understanding Architecture,3,ARCH,Undergraduate,
ARCH 411,/ DIGITAL 411 / UT 411. Becoming Digital,,ARCH,Undergraduate,
ARCHAM 104,Ancient Cities,3-4,ARCHAM,Undergraduate,
ARCHAM 222,/ HISTART 222. Introduction to Roman Archaeology,,ARCHAM,Undergraduate,
ARCHAM 250,Topics in Archaeology of the Ancient Mediterranean,2-3,ARCHAM,Undergraduate,
ARCHAM 333,Digging Up the Past: Introduction to Archaeological Methods,,ARCHAM,Undergraduate,
ARCHAM 354,"/ CLCIV 354 / MIDEAST 354 / RELIGION 353. Ancient Jerusalem: Archaeology, Religion, and Culture",3,ARCHAM,Undergraduate,
ARCHAM 375,"/ GREEKMOD 375. Engaging Antiquity: Heritage, Museums, Media, Tourism, and Communities",3,ARCHAM,Undergraduate,
ARCHAM 383,/ CLCIV 383. Death in the Ancient World,3,ARCHAM,Undergraduate,
ARCHAM 389,/ CLCIV 379 / HISTART 389. Pompeii,3-4,ARCHAM,Undergraduate,
ARCHAM 424,/ HISTART 424. Archaeology of the Roman Provinces,3,ARCHAM,Undergraduate,
ARCHAM 427,/ HISTART 426. Roman Sculpture: Image and Identity,3,ARCHAM,Undergraduate,
ARCHAM 435,/ HISTART 435. The Art and Archaeology of Asia Minor,3,ARCHAM,Undergraduate,
ARCHAM 470,Upper-Level Topics in Archaeology of the Ancient Mediterranean,2-4,ARCHAM,Undergraduate,
ARCHAM 495,Senior Honors Research,1-3,ARCHAM,Undergraduate,
ARCHAM 497,Practicum in Field Archaeology,1-3,ARCHAM,Undergraduate,
ARMENIAN 101,Western Armenian I,4,ARMENIAN,Undergraduate,
ARMENIAN 201,Intermediate Western Armenian I,4,ARMENIAN,Undergraduate,
ARMENIAN 400,Seeds of Peace: Cross-Cultural Talk in the Middle East,3,ARMENIAN,Undergraduate,
ARMENIAN 499,Independent Study in Armenian,1-4,ARMENIAN,Undergraduate,
ARTDES 407,/ RCARTS 407. Ceramics and Ritual: The Object as Protagonist,,ARTDES,Undergraduate,
ASIAN 204,/ HISTORY 204. East Asia: Early Transformations,,ASIAN,Undergraduate,
ASIAN 210,/ HISTORY 219. The Philippines: Culture and History,3,ASIAN,Undergraduate,
ASIAN 225,/ RELIGION 225. Introduction to Hinduism,4,ASIAN,Undergraduate,
ASIAN 231,/ RELIGION 231. Introduction to Tibetan Buddhism,4,ASIAN,Undergraduate,
ASIAN 241,/ HISTORY 251. The Chinese Renaissance: Cultural Transformations in Eleventh-Century China,3,ASIAN,Undergraduate,
ASIAN 250,Undergraduate Seminar in Buddhist Studies,3,ASIAN,Undergraduate,
ASIAN 255,Undergraduate Seminar in Asian Studies,3,ASIAN,Undergraduate,
ASIAN 258,/ ENVIRON 258. Food and Drink of Asia,4,ASIAN,Undergraduate,
ASIAN 260,/ HISTORY 252. Introduction to Chinese Civilization,4,ASIAN,Undergraduate,
ASIAN 262,Twenty-five Ways that China Changed the World,4,ASIAN,Undergraduate,
ASIAN 265,/ HISTORY 297. Health and Disease in Chinese History,3,ASIAN,Undergraduate,
ASIAN 277,/ AMCULT 277. From Truman to Trump: Introduction to US-Korea Relations,4,ASIAN,Undergraduate,
ASIAN 292,/ HISTART 292. Introduction to Japanese Art and Culture,4,ASIAN,Undergraduate,
ASIAN 300,Love and Death in Japanese Culture,3,ASIAN,Undergraduate,
ASIAN 304,/ HISTART 304. The Art of Yoga,3,ASIAN,Undergraduate,
ASIAN 315,"The Lives of the Buddha, from India to Manga",3,ASIAN,Undergraduate,
ASIAN 326,Introduction to Japanese Buddhism,3,ASIAN,Undergraduate,
ASIAN 333,Language Justice in South Asia,4,ASIAN,Undergraduate,
ASIAN 335,/ HISTART 335. Himalayas: An Aesthetic Exploration,3,ASIAN,Undergraduate,
ASIAN 338,Humanities Topics in South Asian Studies,3,ASIAN,Undergraduate,
ASIAN 342,/ WGS 332. Gender and Power in Southeast Asia,3,ASIAN,Undergraduate,
ASIAN 349,/ PHIL 349. Confucianism: Reinventions of Tradition,3,ASIAN,Undergraduate,
ASIAN 354,/ HISTORY 354. Modern China,,ASIAN,Undergraduate,
ASIAN 377,K-Pop and Beyond: Popular Culture and Korean Society,3,ASIAN,Undergraduate,
ASIAN 379,/ RCIDIV 379. North Korea: Real and Imagined,3,ASIAN,Undergraduate,
ASIAN 381,Junior/Senior Research Seminar for Majors,3,ASIAN,Undergraduate,
ASIAN 391,/ AMCULT 306 / HISTORY 334. Milk,3,ASIAN,Undergraduate,
ASIAN 395,The Festivals of South Asia,3,ASIAN,Undergraduate,
ASIAN 397,Mini Course in Asian Studies,1-2,ASIAN,Undergraduate,
ASIAN 408,/ HISTORY 438 / WGS 408. Gender and Health in East Asia: Historical and Contemporary Perspectives,3,ASIAN,Undergraduate,
ASIAN 422,Topics in Southeast Asian Studies,3,ASIAN,Undergraduate,
ASIAN 440,National Cinema of Asia,3,ASIAN,Undergraduate,
ASIAN 443,Literature of Empire,3,ASIAN,Undergraduate,
ASIAN 451,/ HISTORY 451. Japan's Modern Transformations,3,ASIAN,Undergraduate,
ASIAN 459,/ SOC 427. Sociology of Contemporary Korea,3,ASIAN,Undergraduate,
ASIAN 472,Topics in Chinese Studies,3,ASIAN,Undergraduate,
ASIAN 480,Topics in Asian Studies,3,ASIAN,Undergraduate,
ASIAN 485,/ RELIGION 485. Religion in China,3,ASIAN,Undergraduate,
ASIAN 490,/ PUBPOL 428 / SOC 428. Contemporary China,3,ASIAN,Undergraduate,
ASIAN 499,Independent Study-Directed Readings,1-4,ASIAN,Undergraduate,
ASIANLAN 100,First-year Chinese I (for Advanced Beginners),3,ASIANLAN,Undergraduate,
ASIANLAN 102,First Year Chinese II,5,ASIANLAN,Undergraduate,
ASIANLAN 105,Mandarin Pronunciation,1,ASIANLAN,Undergraduate,
ASIANLAN 111,First Year Filipino I,4,ASIANLAN,Undergraduate,
ASIANLAN 115,First Year Hindi I,4,ASIANLAN,Undergraduate,
ASIANLAN 121,First Year Indonesian I,4,ASIANLAN,Undergraduate,
ASIANLAN 123,First-Year Japanese through Anime and Manga,3,ASIANLAN,Undergraduate,
ASIANLAN 125,First Year Japanese I,5,ASIANLAN,Undergraduate,
ASIANLAN 128,Japanese Kanji and Calligraphy: Learning Strategies and Orthography,2,ASIANLAN,Undergraduate,
ASIANLAN 135,First Year Korean I,5,ASIANLAN,Undergraduate,
ASIANLAN 138,Accelerated Korean I,5,ASIANLAN,Undergraduate,
ASIANLAN 146,First Year Punjabi II,4,ASIANLAN,Undergraduate,
ASIANLAN 155,First Year Tamil I,4,ASIANLAN,Undergraduate,
ASIANLAN 161,First Year Thai I,4,ASIANLAN,Undergraduate,
ASIANLAN 171,First Year Urdu I,4,ASIANLAN,Undergraduate,
ASIANLAN 175,First Year Vietnamese I,4,ASIANLAN,Undergraduate,
ASIANLAN 185,First Year Bengali I,4,ASIANLAN,Undergraduate,
ASIANLAN 201,Second Year Chinese I,5,ASIANLAN,Undergraduate,
ASIANLAN 204,Second Year Chinese for Heritage Speakers,4,ASIANLAN,Undergraduate,
ASIANLAN 212,Second Year Filipino II,4,ASIANLAN,Undergraduate,
ASIANLAN 216,Second Year Hindi II,4,ASIANLAN,Undergraduate,
ASIANLAN 222,Second Year Indonesian II,4,ASIANLAN,Undergraduate,
ASIANLAN 226,Second Year Japanese II,5,ASIANLAN,Undergraduate,
ASIANLAN 235,Second Year Korean I,5,ASIANLAN,Undergraduate,
ASIANLAN 238,Accelerated Korean II,5,ASIANLAN,Undergraduate,
ASIANLAN 241,Cross-Cultural Connect: Virtual Language Exchange with Korea,1,ASIANLAN,Undergraduate,
ASIANLAN 245,Second Year Punjabi I,4,ASIANLAN,Undergraduate,
ASIANLAN 251,Second Year Sanskrit I,4,ASIANLAN,Undergraduate,
ASIANLAN 255,Second Year Tamil I,4,ASIANLAN,Undergraduate,
ASIANLAN 261,Second Year Thai I,4,ASIANLAN,Undergraduate,
ASIANLAN 271,Second Year Urdu I,4,ASIANLAN,Undergraduate,
ASIANLAN 275,Second Year Vietnamese I,4,ASIANLAN,Undergraduate,
ASIANLAN 285,Second Year Bengali I,4,ASIANLAN,Undergraduate,
ASIANLAN 301,Third Year Chinese I,5,ASIANLAN,Undergraduate,
ASIANLAN 304,Third Year Chinese for Heritage Speakers,4,ASIANLAN,Undergraduate,
ASIANLAN 306,Chinese Conversation: Watch and Talk II,2,ASIANLAN,Undergraduate,
ASIANLAN 312,"Exploring the Philippines: Places, People and Practices",3,ASIANLAN,Undergraduate,
ASIANLAN 325,Third Year Japanese I,4,ASIANLAN,Undergraduate,
ASIANLAN 335,Third Year Korean I,4,ASIANLAN,Undergraduate,
ASIANLAN 361,Thai Soft Power,3,ASIANLAN,Undergraduate,
ASIANLAN 375,Vietnamese Community with Media,3,ASIANLAN,Undergraduate,
ASIANLAN 403,Introduction to Chinese Linguistics,3,ASIANLAN,Undergraduate,
ASIANLAN 407,Advanced Chinese Reading and Writing I,3,ASIANLAN,Undergraduate,
ASIANLAN 409,Classical Chinese in Modern Context,3,ASIANLAN,Undergraduate,
ASIANLAN 411,Advanced Filipino I,3,ASIANLAN,Undergraduate,
ASIANLAN 413,Media Chinese: Movies and Television,3,ASIANLAN,Undergraduate,
ASIANLAN 418,Advanced Hindi II,3,ASIANLAN,Undergraduate,
ASIANLAN 420,Advanced Indonesian II,3,ASIANLAN,Undergraduate,
ASIANLAN 426,Advanced Spoken Japanese,2,ASIANLAN,Undergraduate,
ASIANLAN 430,Business Japanese II,3,ASIANLAN,Undergraduate,
ASIANLAN 435,Advanced Reading and Writing in Korean,2,ASIANLAN,Undergraduate,
ASIANLAN 439,Academic Japanese I,2,ASIANLAN,Undergraduate,
ASIANLAN 441,Practicum in Japanese Translation (Hon'yaku jisshu),3,ASIANLAN,Undergraduate,
