courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ABDR 1271,Current Trends Auto Collision,2,SAUTM,Undergraduate,
ABDR 1307,Collision Repair Welding,3,SAUTM,Undergraduate,
ABDR 1431,Basic Refinishing,4,SAUTM,Undergraduate,
ABDR 1519,Basic Metal Repair,5,SAUTM,Undergraduate,
ABDR 1555,Non-Structural Metal Repair,5,SAUTM,Undergraduate,
ABDR 1558,Intermediate Refinishing,5,SAUTM,Undergraduate,
ABDR 2402,Auto Body Mechanical/Electrical Service,4,SAUTM,Undergraduate,
ABDR 2437,Structural Analysis and Damage Repair V,4,SAUTM,Undergraduate,
ABDR 2549,Advanced Refinishing,5,SAUTM,Undergraduate,
ABDR 2551,Specialized Refinishing Techniques,5,SAUTM,Undergraduate,
ACCT 2301,Principles of Financial Accounting,3,CACEC,Undergraduate,
ACCT 2302,Principles of Managerial Accounting,3,CACEC,Undergraduate,
ACNT 1303,Introduction to Accounting I,3,CACEC,Undergraduate,
ACNT 1311,Introduction to Computerized Accounting,3,CACEC,Undergraduate,
ACNT 1313,Computerized Accounting Applications,3,CACEC,Undergraduate,
ACNT 1329,Payroll and Business Tax Accounting,3,CACEC,Undergraduate,
ACNT 1373,Accounting Data Analytics,3,CACEC,Undergraduate,
ACNT 2302,Accounting Capstone,3,CACEC,Undergraduate,
ACNT 2303,Intermediate Accounting I,3,CACEC,Undergraduate,
ACNT 2309,Cost Accounting,3,CACEC,Undergraduate,
ACNT 2332,Accounting Information Systems,3,CACEC,Undergraduate,
ACNT 2373,Small Business Accounting,3,CACEC,Undergraduate,
AERM 1101,Introduction to Aviation,1,WAVTN,Undergraduate,
AERM 1205,Weight and Balance,2,WAVTN,Undergraduate,
AERM 1208,Federal Aviation Regulations,2,WAVTN,Undergraduate,
AERM 1243,Instruments & Navigation/Communication,2,WAVTN,Undergraduate,
AERM 1303,Shop Practices,3,WAVTN,Undergraduate,
AERM 1310,Ground Operations,3,WAVTN,Undergraduate,
AERM 1314,Basic Electricity,3,WAVTN,Undergraduate,
AERM 1315,Aviation Science,3,WAVTN,Undergraduate,
AERM 1340,Aircraft Propellers,3,WAVTN,Undergraduate,
AERM 1344,Aircraft Reciprocating Engines,3,WAVTN,Undergraduate,
AERM 1347,Airframe Auxiliary Systems,3,WAVTN,Undergraduate,
AERM 1349,"Hydraulic, Pneumatic, and Fuel Systems",3,WAVTN,Undergraduate,
AERM 1350,Landing Gear Systems,3,WAVTN,Undergraduate,
AERM 1351,Aircraft Turbine Engine Theory,3,WAVTN,Undergraduate,
AERM 1354,Aircraft Composites,3,WAVTN,Undergraduate,
AERM 1357,Fuel Metering and Induction Systems,3,WAVTN,Undergraduate,
AERM 1445,Airframe Electrical Systems,4,WAVTN,Undergraduate,
AERM 1452,Aircraft Sheet Metal,4,WAVTN,Undergraduate,
AERM 1456,Aircraft Powerplant Electrical,4,WAVTN,Undergraduate,
AERM 2171,"Oral and Practical Exams, General",1,WAVTN,Undergraduate,
AERM 2172,"Oral and Practical Exams, Airframe",1,WAVTN,Undergraduate,
AERM 2173,"Oral and Practical Exams, Powerplant",1,WAVTN,Undergraduate,
AERM 2231,Airframe Inspection,2,WAVTN,Undergraduate,
AERM 2233,Assembly and Rigging,2,WAVTN,Undergraduate,
AERM 2252,Aircraft Powerplant Inspection,2,WAVTN,Undergraduate,
AERM 2351,Aircraft Turbine Engine Overhaul,3,WAVTN,Undergraduate,
AERM 2359,Advanced Composite Repair,3,WAVTN,Undergraduate,
AERM 2547,Aircraft Reciprocating Engine Overhaul,5,WAVTN,Undergraduate,
AERO 1291,AET Airframe/Component Strutral Design,2,WAVTN,Undergraduate,
AGCR 1304,Intro to Sustainable Agriculture,3,WHORT,Undergraduate,
AGCR 2418,Soil Science,4,WHORT,Undergraduate,
AIRP 1215,Private Flight,2,WAVTN,Undergraduate,
AIRP 1255,Intermediate Flight,2,WAVTN,Undergraduate,
AIRP 1270,"Private Flight, Helicopter",2,WAVTN,Undergraduate,
AIRP 1271,"Intermediate Flight, Helicopter",2,WAVTN,Undergraduate,
AIRP 1301,Air Navigation,3,WAVTN,Undergraduate,
AIRP 1307,Aviation Meteorology,3,WAVTN,Undergraduate,
AIRP 1313,Introduction to Aviation,3,WAVTN,Undergraduate,
AIRP 1317,Private Pilot Ground School,3,WAVTN,Undergraduate,
AIRP 1341,Advanced Air Navigation,3,WAVTN,Undergraduate,
AIRP 1343,Aerodynamics,3,WAVTN,Undergraduate,
AIRP 1345,Aviation Safety,3,WAVTN,Undergraduate,
AIRP 1347,Human Factors in Aviation,3,WAVTN,Undergraduate,
AIRP 1451,Instrument Ground School,4,WAVTN,Undergraduate,
AIRP 2151,Multiengine Flight,1,WAVTN,Undergraduate,
AIRP 2174,Topics & Trends - Helicopter Industry,1,WAVTN,Undergraduate,
AIRP 2236,Certified Flight Instructor - Flight,2,WAVTN,Undergraduate,
AIRP 2239,Commercial Flight,2,WAVTN,Undergraduate,
AIRP 2242,Flight Instructor-Instrument Flight,2,WAVTN,Undergraduate,
AIRP 2250,Instrument Flight,2,WAVTN,Undergraduate,
AIRP 2270,"Instrument Flight, Helicopter",2,WAVTN,Undergraduate,
AIRP 2271,"Commercial Flight, Helicopter",2,WAVTN,Undergraduate,
AIRP 2272,Certified Flight Instructor-Helicopter,2,WAVTN,Undergraduate,
AIRP 2273,Flight Instructor-Instrument Helicopter,2,WAVTN,Undergraduate,
AIRP 2333,Aircraft Systems,3,WAVTN,Undergraduate,
AIRP 2337,Commercial Ground School,3,WAVTN,Undergraduate,
AIRP 2349,Instructor Ground School,3,WAVTN,Undergraduate,
AIRP 2352,Practical Dispatching I,3,WAVTN,Undergraduate,
AIRP 2453,Practical Dispatching II,4,WAVTN,Undergraduate,
ANES 1370,Anesthesia (Basic) Pharmacology,3,CTAHS,Undergraduate,
ANES 1371,Principles of Anesthesia Technology,3,CTAHS,Undergraduate,
ANES 1372,Introduction to Anesthesia Technology,3,CTAHS,Undergraduate,
ANES 1373,Anesthesia Technology Fundamentals I,3,CTAHS,Undergraduate,
ANES 1375,Anesthesia Technology Clinic Exp I,3,TTAHS,Undergraduate,
ANES 1474,Anesthesia Technology Instrumentation I,4,CTAHS,Undergraduate,
ANES 2373,Anesthesia Technology Fundamentals II,3,CTAHS,Undergraduate,
ANES 2375,Anesthesia Tech Clinic Experience II,3,TTAHS,Undergraduate,
ANES 2474,Anesthesia Technology Instrumentation II,4,CTAHS,Undergraduate,
ANES 2475,Anesthesia Tech Clinic Experience III,4,TTAHS,Undergraduate,
ANES 2476,Anesthesia Clinical Seminar & Review,4,CTAHS,Undergraduate,
ANTH 2302,Introduction to Archeology,3,CSOCS,Undergraduate,
ANTH 2346,General Anthropology,3,CSOCS,Undergraduate,
ANTH 2351,Cultural Anthropology,3,CSOCS,Undergraduate,
ARCE 1342,Codes/Specifications/Contract Documents,3,SBLDS,Undergraduate,
ARCE 2352,Mechanical/Electrical/Plumbing(MEP) Sys,3,SBLDS,Undergraduate,
ARCH 1301,Architectural History I,3,SBLDS,Undergraduate,
ARCH 1302,Architectural History II,3,SBLDS,Undergraduate,
ARCH 1303,Architectural Design I,3,SBLDS,Undergraduate,
ARCH 1304,Architectural Design II,3,SBLDS,Undergraduate,
ARCH 1307,Architectural Graphics I,3,SBLDS,Undergraduate,
ARCH 1308,Architectural Graphics II,3,SBLDS,Undergraduate,
ARCH 1311,Introduction to Architecture,3,SBLDS,Undergraduate,
ARCH 1315,Architectural Computer Graphics,3,SBLDS,Undergraduate,
ARCH 2301,Architectural Freehand Drawing I,3,SBLDS,Undergraduate,
ARCH 2302,Architectural Freehand Drawing II,3,SBLDS,Undergraduate,
ARCH 2312,Architectural Technology,3,SBLDS,Undergraduate,
ARCT 2367,Practicum-Architectural Engineerng Tech,3,SBLDS,Undergraduate,
ARTC 1302,Digital Imaging I,3,NCMME,Undergraduate,
ARTC 1305,Basic Graphic Design,3,NCMME,Undergraduate,
ARTC 1313,Digital Publishing I,3,NCMME,Undergraduate,
ARTC 1353,Computer Illustration,3,NCMME,Undergraduate,
ARTC 2305,Digital Imaging II,3,NCMME,Undergraduate,
ARTC 2313,Digital Publishing II,3,NCMME,Undergraduate,
ARTC 2317,Typographic Design,3,NCMME,Undergraduate,
ARTC 2335,Portfolio Development for Graphic Design,3,NCMME,Undergraduate,
ARTC 2340,Computer Illustration II,3,NCMME,Undergraduate,
ARTS 1301,Art Appreciation,3,CVPAR,Undergraduate,
ARTS 1303,Art History I (Prehist to 14th Century),3,CVPAR,Undergraduate,
ARTS 1304,Art History II (14th Century to Present),3,CVPAR,Undergraduate,
ARTS 1311,Design I (2-dimensional),3,CVPAR,Undergraduate,
ARTS 1312,Design II (3-dimensional),3,CVPAR,Undergraduate,
ARTS 1316,Drawing I,3,CVPAR,Undergraduate,
ARTS 1317,Drawing II,3,CVPAR,Undergraduate,
ARTS 2313,Graphic Design,3,CVPAR,Undergraduate,
ARTS 2316,Painting I,3,CVPAR,Undergraduate,
ARTS 2317,Painting II,3,CVPAR,Undergraduate,
ARTS 2323,Life Drawing,3,CVPAR,Undergraduate,
ARTS 2326,Sculpture,3,CVPAR,Undergraduate,
ARTS 2333,Printmaking,3,CVPAR,Undergraduate,
ARTS 2346,Ceramics I,3,CVPAR,Undergraduate,
ARTS 2347,Ceramics II,3,CVPAR,Undergraduate,
ARTS 2348,Digital Media,3,CVPAR,Undergraduate,
ARTS 2356,Photography I (Fine Arts Emphasis),3,CVPAR,Undergraduate,
ARTS 2357,Photography II (Fine Arts Emphasis),3,CVPAR,Undergraduate,
ARTS 2389,Academic Cooperative,3,CVPAR,Undergraduate,
ARTV 1303,Basic Animation,3,NCMME,Undergraduate,
AUMT 1305,Introduction to Automotive Technology,3,SAUTM,Undergraduate,
AUMT 1306,Automotive Engine Removal and Install,3,SAUTM,Undergraduate,
AUMT 1307,Automotive Electrical Systems,3,SAUTM,Undergraduate,
AUMT 1310,Automotive Brake Systems,3,SAUTM,Undergraduate,
AUMT 1316,Automotive Suspension & Steering Systems,3,SAUTM,Undergraduate,
AUMT 1319,Automotive Engine Repair,3,SAUTM,Undergraduate,
AUMT 1345,Automotive Climate Control Systems,3,SAUTM,Undergraduate,
AUMT 1405,Introduction to Automotive Technology,4,SAUTM,Undergraduate,
AUMT 1407,Automotive Electrical Systems,4,SAUTM,Undergraduate,
AUMT 1410,Automotive Brake Systems,4,SAUTM,Undergraduate,
AUMT 1416,Automotive Suspension & Steering Systems,4,SAUTM,Undergraduate,
AUMT 1419,Automotive Engine Repair,4,SAUTM,Undergraduate,
AUMT 2307,Hybrid and/or BEV Systems Diagnostics,3,SAUTM,Undergraduate,
AUMT 2311,Automotive Electronic Controls,3,SAUTM,Undergraduate,
AUMT 2313,Automotive Drive Train and Axles,3,SAUTM,Undergraduate,
AUMT 2317,Automotive Engine Performance Analysis I,3,SAUTM,Undergraduate,
AUMT 2321,Automotive Electrical Diagnos and Repair,3,SAUTM,Undergraduate,
AUMT 2325,Auto Automatic Transmission/Transaxle,3,SAUTM,Undergraduate,
AUMT 2328,Automotive Service,3,SAUTM,Undergraduate,
AUMT 2334,Auto Engine Performance Analysis II,3,SAUTM,Undergraduate,
AUMT 2388,Intern Auto/Automotive Mech Tech/ Techn,3,SAUTM,Undergraduate,
AUMT 2434,Auto Engine Performance Analysis II,4,SAUTM,Undergraduate,
AVIM 2337,Aviation Law,3,WAVTN,Undergraduate,
AVNC 1303,Intro to Aviation Electronic Systems,3,WAVTN,Undergraduate,
AVNC 1370,Aircraft Comm Systems Line Maintenance,3,WAVTN,Undergraduate,
AVNC 1371,Aircraft Navigation Syst Line Maintenanc,3,WAVTN,Undergraduate,
AVNC 1372,Air Traffic Control Systems,3,WAVTN,Undergraduate,
BCIS 1305,Business Computer Applications,3,CITEC,Undergraduate,
BIOL 1406,Biology Scienc Majors I (Lecture + Lab),4,CBIOG,Undergraduate,
BIOL 1407,Biology for Science Maj II (Lec + Lab),4,CBIOG,Undergraduate,
BIOL 1408,Biology for Non-Science Maj I (Lec/Lab),4,CBIOG,Undergraduate,
BIOL 1409,Biology Non-Science Majors II (Lec/Lab),4,CBIOG,Undergraduate,
BIOL 2306,Environmental Biology (lecture),3,CBIOG,Undergraduate,
BIOL 2316,Genetics (Lecture),3,CBIOG,Undergraduate,
BIOL 2389,Academic Cooperative,3,CBIOG,Undergraduate,
BIOL 2401,Anatomy and Physiology I (Lecture/Lab),4,CBIOG,Undergraduate,
BIOL 2402,Anatomy/Physiology II (Lecture + Lab),4,CBIOG,Undergraduate,
BIOL 2406,Environmental Biology (Lecture + Lab),4,CBIOG,Undergraduate,
BIOL 2420,Microbiology Non-Science Maj (Lec/Lab),4,CBIOG,Undergraduate,
BIOL 2421,Microbiology for Science Maj (lec/lab),4,CBIOG,Undergraduate,
BMGT 1301,Supervision,3,CBUSN,Undergraduate,
BMGT 1305,Communications in Management,3,CBUSN,Undergraduate,
BMGT 1313,Principles of Purchasing,3,CBUSN,Undergraduate,
BMGT 1327,Principles of Management,3,CBUSN,Undergraduate,
BMGT 1331,Production and Operations Management,3,CBUSN,Undergraduate,
BMGT 1341,Business Ethics,3,CBUSN,Undergraduate,
BMGT 2309,Leadership,3,CBUSN,Undergraduate,
BMGT 2331,Principles of Quality Management,3,CBUSN,Undergraduate,
BMGT 2341,Strategic Management,3,CBUSN,Undergraduate,
BMGT 2482,Co-op Edu - Business Admin & Management,4,CBUSN,Undergraduate,
BTND 1371,Introduction to Bartending/Mixologist,3,EHSPM,Undergraduate,
BUSG 1302,E-Business Management,3,CBUSN,Undergraduate,
BUSG 1307,Entrepreneurship and Economic Develop,3,CBUSN,Undergraduate,
BUSG 1315,Small Business Operations,3,CBUSN,Undergraduate,
BUSG 1341,Small Business Financing,3,CBUSN,Undergraduate,
BUSG 1370,Entrepreneurial Mindset,3,CBUSN,Undergraduate,
BUSG 2300,Business Leadership Application,3,CBUSN,Undergraduate,
BUSG 2305,Business Law/Contracts,3,CBUSN,Undergraduate,
BUSG 2309,Small Business Manage/Entrepreneurship,3,CBUSN,Undergraduate,
BUSI 1301,Business Principles,3,CBUSN,Undergraduate,
BUSI 1307,Personal Finance,3,CBUSN,Undergraduate,
BUSI 2301,Business Law,3,CBUSN,Undergraduate,
BUSI 2305,Business Statistics,3,CBUSN,Undergraduate,
CDEC 1321,The Infant and Toddler,3,CEDUC,Undergraduate,
CDEC 1323,Observation and Assessment,3,CEDUC,Undergraduate,
CDEC 1356,Emergent Literacy for Early Childhood,3,CEDUC,Undergraduate,
CDEC 1358,Creative Arts for Early Childhood,3,CEDUC,Undergraduate,
CDEC 1359,Children With Special Needs,3,CEDUC,Undergraduate,
CDEC 1413,Curriculum Resources Early Child Program,4,CEDUC,Undergraduate,
CDEC 1419,Child Guidance,4,CEDUC,Undergraduate,
CDEC 2307,Math and Science for Early Childhood,3,CEDUC,Undergraduate,
CDEC 2324,Child Development Associate Training III,3,CEDUC,Undergraduate,
CDEC 2326,Admin of Programs for Children I,3,CEDUC,Undergraduate,
CDEC 2328,Admin of Programs for Children II,3,CEDUC,Undergraduate,
CDEC 2341,The School Age Child,3,CEDUC,Undergraduate,
CDEC 2386,Internship-Child Care Provider/Assist,3,NEDUC,Undergraduate,
CETT 1403,DC Circuits,4,SELET,Undergraduate,
CETT 1405,AC Circuits,4,SELET,Undergraduate,
CETT 1409,DC-AC Circuits,4,SELET,Undergraduate,
CETT 1441,Solid State Circuits,4,SELET,Undergraduate,
CETT 1445,Microprocessor,4,SELET,Undergraduate,
CETT 1449,Digital Systems,4,SELET,Undergraduate,
CETT 2435,Advanced Microprocessors,4,SELET,Undergraduate,
CHEF 1264,Practicum Culinary Arts/Chef Training,2,EHSPM,Undergraduate,
CHEF 1301,Basic Food Preparation,3,EHSPM,Undergraduate,
CHEF 1302,Principles of Healthy Cuisine,3,EHSPM,Undergraduate,
CHEF 1305,Sanitation and Safety,3,CHSPM,Undergraduate,
CHEF 1310,Garde Manger,3,EHSPM,Undergraduate,
CHEF 1340,Meat Preparation and Cooking,3,EHSPM,Undergraduate,
CHEF 1341,American Regional Cuisine,3,EHSPM,Undergraduate,
CHEF 1345,International Cuisine,3,EHSPM,Undergraduate,
CHEF 1400,Professional Cooking and Meal Service,4,EHSPM,Undergraduate,
CHEF 2301,Intermediate Food Preparation,3,EHSPM,Undergraduate,
CHEF 2302,Saucier,3,EHSPM,Undergraduate,
CHEF 2336,Charcuterie,3,EHSPM,Undergraduate,
CHEF 2341,Advanced Culinary Competition,3,EHSPM,Undergraduate,
CHEM 1405,Introductory Chemistry I (Lecture/Lab),4,CPHSC,Undergraduate,
CHEM 1406,Intr Chemistry I-Allied Hlth (Lec/Lab),4,CPHSC,Undergraduate,
CHEM 1407,Intro Chemistry II (Lecture + Lab),4,CPHSC,Undergraduate,
CHEM 1409,Gen Chemistry Engr Maj (lec/lab),4,CPHSC,Undergraduate,
CHEM 1411,General Chemistry I (Lecture + Lab),4,CPHSC,Undergraduate,
CHEM 1412,General Chemistry II (Lecture + Lab),4,CPHSC,Undergraduate,
CHEM 2289,Academic Cooperative,2,CPHSC,Undergraduate,
CHEM 2389,Academic Cooperative,3,CPHSC,Undergraduate,
CHEM 2423,Organic Chemistry I (Lecture + Lab),4,CPHSC,Undergraduate,
CHEM 2425,Organic Chemistry II (Lecture + Lab),4,CPHSC,Undergraduate,
CHIN 1411,Beginning Chinese I,4,CLNGS,Undergraduate,
CJLE 1345,Intermediate Crime Scene Investigation,3,CLECJ,Undergraduate,
CJLE 1373,Serial Killers & Extraordinary Homicide,3,TLECJ,Undergraduate,
CJLE 1375,Sex Crimes,3,TLECJ,Undergraduate,
CJLE 1429,Basic Peace Officer V,4,CLECJ,Undergraduate,
CJLE 1506,Basic Peace Officer I,5,CLECJ,Undergraduate,
CJLE 1512,Basic Peace Officer II,5,CLECJ,Undergraduate,
CJLE 1518,Basic Peace Officer III,5,CLECJ,Undergraduate,
CJLE 1524,Basic Peace Officer IV,5,WLECJ,Undergraduate,
CJSA 1330,Cybercrimes,3,WLECJ,Undergraduate,
CJSA 1347,Police Organization & Administration,3,CLECJ,Undergraduate,
CJSA 1348,Ethics in Criminal Justice,3,CLECJ,Undergraduate,
CJSA 2331,Child Abuse: Prevention & Investigation,3,CLECJ,Undergraduate,
CJSA 2334,Contemporary Issues in Criminal Justice,3,CLECJ,Undergraduate,
CJSA 2388,Internship-Criminal Justice Studies,3,WLECJ,Undergraduate,
CNBT 1110,Basic Construction Safety,1,CBLDS,Undergraduate,
CNBT 1300,Residential/Light Comm Cons Drawings,3,CBLDS,Undergraduate,
CNBT 1302,Mech/Plumb/Elect System Construction I,3,CBLDS,Undergraduate,
CNBT 1311,Construction Methods and Materials I,3,CBLDS,Undergraduate,
CNBT 1342,Building Codes and Inspections,3,CBLDS,Undergraduate,
CNBT 1344,Construction Materials Testing,3,CBLDS,Undergraduate,
CNBT 1346,Construction Estimating I,3,CBLDS,Undergraduate,
CNBT 2266,Practicum-Construction Engineering Tech,2,SBLDS,Undergraduate,
CNBT 2335,Computer-Aided Construction Scheduling,3,CBLDS,Undergraduate,
CNBT 2337,Construction Estimating II,3,CBLDS,Undergraduate,
CNBT 2342,Construction Management I,3,CBLDS,Undergraduate,
COMM 1307,Introduction to Mass Communication,3,CCMME,Undergraduate,
COMM 1335,Introduction to Electronic Media,3,CCMME,Undergraduate,
COMM 1336,Video Production I,3,CCMME,Undergraduate,
COMM 2303,Audio Production,3,CCMME,Undergraduate,
COMM 2311,Media Writing,3,CCMME,Undergraduate,
COMM 2339,"Writing for Radio, Television & Film",3,CCMME,Undergraduate,
COMM 2366,Film Appreciation,3,CCMME,Undergraduate,
COSC 1301,Introduction to Computing,3,CITEC,Undergraduate,
COSC 1420,"""C"" Programming",4,CITEC,Undergraduate,
COSC 1436,Programming Fundamentals I,4,CITEC,Undergraduate,
COSC 1437,Programming Fundamentals II,4,CITEC,Undergraduate,
COSC 2425,Computer Organization,4,CITEC,Undergraduate,
COSC 2436,Programming Fundamentals III,4,CITEC,Undergraduate,
CPMT 1403,Introduction to Computer Technology,4,CITEC,Undergraduate,
CRIJ 1301,Introduction to Criminal Justice,3,CLECJ,Undergraduate,
CRIJ 1306,Court Systems and Practices,3,CLECJ,Undergraduate,
CRIJ 1307,Crime in America,3,CLECJ,Undergraduate,
CRIJ 1310,Fundamentals of Criminal Law,3,CLECJ,Undergraduate,
CRIJ 1313,Juvenile Justice System,3,CLECJ,Undergraduate,
CRIJ 2313,Correctional Systems and Practices,3,CLECJ,Undergraduate,
CRIJ 2314,Criminal Investigation,3,CLECJ,Undergraduate,
CRIJ 2323,Legal Aspects of Law Enforcement,3,CLECJ,Undergraduate,
CRIJ 2328,Police Systems and Practices,3,CLECJ,Undergraduate,
CSIR 1459,Digital Data Communication,4,SELET,Undergraduate,
CTMT 1271,Computed Tomography (CT) Review,2,CDMIS,Undergraduate,
CTMT 2336,Computed Tomography Equipment/Methodolo,3,CDMIS,Undergraduate,
CTMT 2460,Clinical-Radiologic Technology/Science,4,TDMIS,Undergraduate,
CTMT 2461,Clinical-Radiologic Technology/Science,4,TDMIS,Undergraduate,
DAAC 1304,Pharmacology of Substance Use Disorders,3,CBHVS,Undergraduate,
DAAC 2307,Family Intervent-Substance Use Disorder,3,CBHVS,Undergraduate,
DAAC 2330,Multicultural Counseling,3,CBHVS,Undergraduate,
DAAC 2341,Counseling of Substance Use Disorders,3,CBHVS,Undergraduate,
DAAC 2343,Current Issues,3,CBHVS,Undergraduate,
DAAC 2366,Practicum: Substance Abuse/Addiction,3,NBHVS,Undergraduate,
DANC 1110,Tap Dance,1,CVPAR,Undergraduate,
DANC 1112,Dance Practicum,1,CVPAR,Undergraduate,
DANC 1151,Freshman Dance Performance,1,CVPAR,Undergraduate,
DANC 1201,Dance Composition- Improvisation,2,CVPAR,Undergraduate,
DANC 1241,Beginning Ballet,2,CVPAR,Undergraduate,
DANC 1245,Beginning Modern Dance,2,CVPAR,Undergraduate,
DANC 1247,Beginning Jazz Dance,2,CVPAR,Undergraduate,
DANC 1301,Dance Composition-Choreography,3,CVPAR,Undergraduate,
DANC 2151,Sophomore Dance Performance,1,CVPAR,Undergraduate,
DANC 2241,Intermediate Ballet,2,CVPAR,Undergraduate,
DANC 2245,Intermediate Modern Dance,2,CVPAR,Undergraduate,
DANC 2247,Intermediate Jazz Dance,2,CVPAR,Undergraduate,
DANC 2303,Dance Appreciation,3,CVPAR,Undergraduate,
DEMR 1229,Preventative Maintenance,2,SAUTM,Undergraduate,
DEMR 1230,Steering and Suspension I,2,SAUTM,Undergraduate,
DEMR 1280,Coop Ed - Diesel Mech Technology/Techn,2,SAUTM,Undergraduate,
DEMR 1301,Shop Safety and Procedures,3,SAUTM,Undergraduate,
DEMR 1305,Basic Electrical Systems,3,SAUTM,Undergraduate,
DEMR 1306,Diesel Engine I,3,SAUTM,Undergraduate,
DEMR 1316,Basic Hydraulics,3,SAUTM,Undergraduate,
DEMR 1317,Basic Brake Systems,3,SAUTM,Undergraduate,
DEMR 1321,Power Train I,3,SAUTM,Undergraduate,
DEMR 1323,HVAC Troubleshooting and Repair,3,SAUTM,Undergraduate,
DEMR 1327,Tractor Trailer Service and Repair,3,SAUTM,Undergraduate,
DFTG 1305,Introduction to Technical Drawing,3,CMITC,Undergraduate,
DFTG 1409,Basic Computer-Aided Drafting,4,CMITC,Undergraduate,
DFTG 1417,Architectural Drafting-Residential,4,CMITC,Undergraduate,
DFTG 1430,Civil Drafting I,4,CMITC,Undergraduate,
DFTG 1445,Parametric Modeling and Design,4,CMITC,Undergraduate,
DFTG 1458,Electrical/Electronics Drafting,4,CMITC,Undergraduate,
DFTG 2402,Machine Drafting,4,CMITC,Undergraduate,
DFTG 2419,Intermediate Computer-Aided Drafting,4,CMITC,Undergraduate,
DFTG 2421,Topographical Drafting,4,CMITC,Undergraduate,
DFTG 2423,Pipe Drafting,4,CMITC,Undergraduate,
DFTG 2427,Landscape Drafting,4,CMITC,Undergraduate,
DFTG 2428,Architectural Drafting - Commercial,4,CMITC,Undergraduate,
DFTG 2431,Advanced Technologies/Design & Drafting,4,CMITC,Undergraduate,
DFTG 2438,Final Project - Advanced Drafting,4,SMITC,Undergraduate,
DFTG 2440,Solid Modeling/Design,4,CMITC,Undergraduate,
DFTG 2458,Advanced Machine Design,4,CMITC,Undergraduate,
DHYG 1207,General and Dental Nutrition,2,NDNTL,Undergraduate,
DHYG 1215,Community Dentistry,2,NDNTL,Undergraduate,
DHYG 1219,Dental Materials,2,NDNTL,Undergraduate,
DHYG 1227,Preventive Dental Hygiene Care,2,NDNTL,Undergraduate,
DHYG 1235,Pharmacology for The Dental Hygienist,2,NDNTL,Undergraduate,
DHYG 1239,General and Oral Pathology,2,NDNTL,Undergraduate,
DHYG 1260,Clinical-Dental Hygiene/Hygienist,2,NDNTL,Undergraduate,
DHYG 1301,"Orofacial Anatomy, Histology, Embryology",3,NDNTL,Undergraduate,
DHYG 1304,Dental Radiology,3,NDNTL,Undergraduate,
DHYG 1311,Periodontology,3,NDNTL,Undergraduate,
DHYG 1431,Preclinical Dental Hygiene,4,NDNTL,Undergraduate,
DHYG 2201,Dental Hygiene Care I,2,NDNTL,Undergraduate,
DHYG 2253,Dental Hygiene Practice,2,NDNTL,Undergraduate,
DHYG 2331,Dental Hygiene Care II,3,NDNTL,Undergraduate,
DHYG 2360,Clinical-Dental Hygienist,3,NDNTL,Undergraduate,
DHYG 2361,Clinical-Dental Hygienist,3,NDNTL,Undergraduate,
DITA 1300,Dietary Manager I,3,CHNWL,Undergraduate,
DITA 1301,Dietary Manager II,3,EHNWL,Undergraduate,
DMSO 1110,Introduction to Sonography,1,TDMIS,Undergraduate,
DMSO 1266,Pract-Diag Med Snog/Snog Ultrasnd Tech,2,TDMIS,Undergraduate,
DMSO 1267,Pract-Diag Med Snog/Snog Ultrasnd Tech,2,TDMIS,Undergraduate,
DMSO 1302,Basic Ultrasound Physics,3,TDMIS,Undergraduate,
DMSO 1355,Sonographic Pathophysiology,3,TDMIS,Undergraduate,
DMSO 1366,Pract-Diag Med Snog/Snog Ultrasnd Tech,3,TDMIS,Undergraduate,
DMSO 1367,Pract-Diag Med Snog/Snog Ultrasnd Tech,3,TDMIS,Undergraduate,
DMSO 1441,Abdominopelvic Sonography,4,TDMIS,Undergraduate,
DMSO 2130,Advanced Ultrasound and Review,1,TDMIS,Undergraduate,
DMSO 2242,Advanced Obstetric Sonography,2,TDMIS,Undergraduate,
DMSO 2243,Advanced Ultrasound Physics,2,TDMIS,Undergraduate,
DMSO 2253,Sonography of Superficial Structures,2,TDMIS,Undergraduate,
DMSO 2305,Sonography of Obstetrics/Gynecology,3,TDMIS,Undergraduate,
DNTA 1103,Registered Dental Assistant Exam Review,1,CDNTL,Undergraduate,
DNTA 1202,Comm and Behavior in The Dental Office,2,CDNTL,Undergraduate,
DNTA 1245,Preventive Dentistry,2,CDNTL,Undergraduate,
DNTA 1251,Dental Office Management,2,CDNTL,Undergraduate,
DNTA 1301,Dental Materials,3,CDNTL,Undergraduate,
DNTA 1305,Dental Radiology,3,CDNTL,Undergraduate,
DNTA 1311,Dental Science,3,CDNTL,Undergraduate,
DNTA 1315,Chairside Assisting,3,CDNTL,Undergraduate,
DNTA 1353,Dental Assisting Applications,3,CDNTL,Undergraduate,
DNTA 1360,Clinical - Dental Assisting/Assistant,3,NDNTL,Undergraduate,
DRAM 1120,Theater Practicum I,1,CVPAR,Undergraduate,
DRAM 1121,Theater Practicum II,1,CVPAR,Undergraduate,
DRAM 1310,Theater Appreciation,3,CVPAR,Undergraduate,
DRAM 1330,Stagecraft I,3,CVPAR,Undergraduate,
DRAM 1351,Acting I,3,CVPAR,Undergraduate,
