courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
Acc 512,Theory of Financial Accounting I,"(3, 3)",Accounting Courses,Graduate,
Acc 513,Theory of Financial Accounting II,"(3, 3)",Accounting Courses,Graduate,
Acc 514,Theory of Financial Accounting III,"(3, 3)",Accounting Courses,Graduate,
Acc 518,Accounting for Managers,"(3, 3)",Accounting Courses,Graduate,
Acc 519,Data Analytics for Audit and Control,"(3, 3)",Accounting Courses,Graduate,
Acc 522,Data Analytics for Forensic Accounting & Information Assurance,"(3, 3)",Accounting Courses,Graduate,
Acc 531,Introduction to Cost Analysis,"(3, 3)",Accounting Courses,Graduate,
Acc 536,Technology in Financial Market Regulation,"(3, 3)",Accounting Courses,Graduate,
Acc 540,Survey of Taxation,"(3, 3)",Accounting Courses,Graduate,
Acc 551,Fraud Examination,"(3, 3)",Accounting Courses,Graduate,
Acc 552,Financial Statement Fraud and Corporate Governance,"(3, 3)",Accounting Courses,Graduate,
Acc 553,Digital Forensics,"(3, 3)",Accounting Courses,Graduate,
Acc 561,Auditing,"(3, 3)",Accounting Courses,Graduate,
Acc 581,Internal Controls and Financial Information Systems,"(3, 3)",Accounting Courses,Graduate,
Acc 600,Service Learning and Community Engagement in Taxation,"(3, 3)",Accounting Courses,Graduate,
Acc 601,Service Learning and Community Engagement in Forensic Accounting,"(3, 3)",Accounting Courses,Graduate,
Acc 602,Service Learning and Community Engagement in Accountancy,"(3, 3)",Accounting Courses,Graduate,
Acc 611,Contemporary Developments in Accounting Thought,"(3, 3)",Accounting Courses,Graduate,
Acc 615,Financial Statement Analysis,"(3, 3)",Accounting Courses,Graduate,
Acc 620,Accounting for Governmental and Non-for-Profit Entities,"(3, 3)",Accounting Courses,Graduate,
Acc 630,Advanced Cost Management,"(3, 3)",Accounting Courses,Graduate,
Acc 631,Principles of Tax Research,"(3, 3)",Accounting Courses,Graduate,
Acc 633,Corporate Taxation,"(3, 3)",Accounting Courses,Graduate,
Acc 642,Taxation of Partnerships,"(3, 3)",Accounting Courses,Graduate,
Acc 644,Estate and Gift Taxation,"(3, 3)",Accounting Courses,Graduate,
Acc 646,State and Interstate Taxation,"(3, 3)",Accounting Courses,Graduate,
Acc 650,Tax Practice and Procedure,"(3, 3)",Accounting Courses,Graduate,
Acc 661,Auditing of Advanced Accounting Systems,"(3, 3)",Accounting Courses,Graduate,
Acc 680,Research Seminar in Accounting,"(3, 3)",Accounting Courses,Graduate,
Acc 681,Accounting Information Systems,"(3, 3)",Accounting Courses,Graduate,
Acc 685,Selected Topics in Accounting,"(3, 3)",Accounting Courses,Graduate,
Acc 694,Seminar in Tax and Financial Planning,"(3, 3)",Accounting Courses,Graduate,
Acc 695,Independent Study in Accounting,"(1, 3)",Accounting Courses,Graduate,
Afs 501,Emerging Concepts of Affirmative Action,"(3, 3)",Africana Studies Courses,Graduate,
Afs 502,Workshop Practices in Affirmative Action,"(6, 6)",Africana Studies Courses,Graduate,
Afs 503,Human Services and the Black Community,"(3, 3)",Africana Studies Courses,Graduate,
Afs 504,Seminar in African American History I,"(4, 4)",Africana Studies Courses,Graduate,
Afs 505,Seminar in African American History II,"(4, 4)",Africana Studies Courses,Graduate,
Afs 509,"Planned Social Change: Design, Structure Control, and Goals","(4, 4)",Africana Studies Courses,Graduate,
Afs 510,Seminar in Urban Affairs and Human Development,"(3, 3)",Africana Studies Courses,Graduate,
Afs 520,African Economics,"(4, 4)",Africana Studies Courses,Graduate,
Afs 524,Economic Development in the Black Community,"(3, 3)",Africana Studies Courses,Graduate,
Afs 528,Black Political Organizations,"(3, 3)",Africana Studies Courses,Graduate,
Afs 529,"Environmental Justice: Racism, Classism, Sexism","(3, 4)",Africana Studies Courses,Graduate,
Afs 530,Law and the Black Community,"(3, 3)",Africana Studies Courses,Graduate,
Afs 531,The Sociology of Segregation,"(3, 3)",Africana Studies Courses,Graduate,
Afs 532,Urban Life Styles,"(3, 3)",Africana Studies Courses,Graduate,
Afs 533,Topics in African History,"(4, 4)",Africana Studies Courses,Graduate,
Afs 541,Black Women in U.S. History,"(3, 3)",Africana Studies Courses,Graduate,
Afs 545,"Black Diasporas, Feminisms, and Sexual Politics","(3, 4)",Africana Studies Courses,Graduate,
Afs 551,"Jazz, Identity and the Human Spirit","(3, 3)",Africana Studies Courses,Graduate,
Afs 560,African History,"(3, 3)",Africana Studies Courses,Graduate,
Afs 595,The Slavery Experience in America,"(3, 3)",Africana Studies Courses,Graduate,
Afs 596,African-American Literature,"(4, 4)",Africana Studies Courses,Graduate,
Afs 598,Topics in African Studies,"(1, 4)",Africana Studies Courses,Graduate,
Afs 599,Topics in Afro-American Studies,"(2, 4)",Africana Studies Courses,Graduate,
Afs 612,Race Theory and Social Thought,"(3, 3)",Africana Studies Courses,Graduate,
Afs 622,Seminar in African Government and Politics,"(3, 3)",Africana Studies Courses,Graduate,
Afs 623,Africa in World Politics,"(3, 3)",Africana Studies Courses,Graduate,
Afs 624,African Politics,"(3, 3)",Africana Studies Courses,Graduate,
Afs 628,Seminar in Urban Politics,"(3, 3)",Africana Studies Courses,Graduate,
Afs 630,Biography and the Afro-American Experience,"(3, 3)",Africana Studies Courses,Graduate,
Afs 640,Seminar on African Civilizations and Institutions,"(3, 3)",Africana Studies Courses,Graduate,
Afs 642,History of Eastern Africa,"(3, 3)",Africana Studies Courses,Graduate,
Afs 643,Seminar in Problems in African and Afro-American History,"(4, 4)",Africana Studies Courses,Graduate,
Afs 644,Seminar in Black Goals and American Public Policy,"(3, 3)",Africana Studies Courses,Graduate,
Afs 645,Seminar: African American Community,"(4, 4)",Africana Studies Courses,Graduate,
Afs 650,History of Southern Africa,"(3, 3)",Africana Studies Courses,Graduate,
Afs 662,Readings in African History,"(4, 4)",Africana Studies Courses,Graduate,
Afs 664,Seminar in African History,"(4, 4)",Africana Studies Courses,Graduate,
Afs 690,Seminar in African Diasporic Research: Migration and Citizenship,"(3, 3)",Africana Studies Courses,Graduate,
Afs 694,Independent Study and Research in Afro-American Studies,"(3, 6)",Africana Studies Courses,Graduate,
Afs 697,Directed Readings in Afro-American Studies,"(3, 6)",Africana Studies Courses,Graduate,
Ant 502,Proseminar in Physical Anthropology,"(3, 4)",Anthropology Courses,Graduate,
Ant 504,Proseminar in Archaeology,"(3, 4)",Anthropology Courses,Graduate,
Ant 506,Proseminar in Linguistics,"(3, 4)",Anthropology Courses,Graduate,
Ant 507,"Tourism, Culture, and Identities","(3, 3)",Anthropology Courses,Graduate,
Ant 508,Proseminar in Ethnology,"(3, 4)",Anthropology Courses,Graduate,
Ant 509,Primate Evolutionary Biology,"(3, 4)",Anthropology Courses,Graduate,
Ant 510,Human Osteology,"(3, 4)",Anthropology Courses,Graduate,
Ant 512,Human Population Genetics,"(3, 3)",Anthropology Courses,Graduate,
Ant 513,Functional Anatomy of the Human Skeleton,"(3, 4)",Anthropology Courses,Graduate,
Ant 514,Forensic Anthropology,"(3, 4)",Anthropology Courses,Graduate,
Ant 515,Nutritional Anthropology,"(3, 4)",Anthropology Courses,Graduate,
Ant 516,Basic Principles and Methods of Epidemiology,"(3, 3)",Anthropology Courses,Graduate,
Ant 517,Principles and Methods of Epidemiology II,"(3, 3)",Anthropology Courses,Graduate,
Ant 518,"Culture, Environment and Health","(3, 4)",Anthropology Courses,Graduate,
Ant 519,Topics in Biological Anthropology,"(3, 4)",Anthropology Courses,Graduate,
Ant 521,Introduction to Syntactic Theory,"(3, 3)",Anthropology Courses,Graduate,
Ant 522,Introduction to Phonetics & Phonology,"(3, 3)",Anthropology Courses,Graduate,
Ant 523,Linguistic Structures,"(3, 3)",Anthropology Courses,Graduate,
Ant 524,Language and Culture,"(3, 4)",Anthropology Courses,Graduate,
Ant 525,Comparative and Historical Linguistics,"(3, 3)",Anthropology Courses,Graduate,
Ant 526,"Language Acquisition, B-2","(3, 4)",Anthropology Courses,Graduate,
Ant 527,Topics in Anthropological Linguistics,"(3, 4)",Anthropology Courses,Graduate,
Ant 528,Mesoamerican Linguistics,"(3, 4)",Anthropology Courses,Graduate,
Ant 529,Field Methods in Anthropological Linguistics,"(3, 4)",Anthropology Courses,Graduate,
Ant 530,The Archaeology of Food,"(3, 3)",Anthropology Courses,Graduate,
Ant 531,Seminar in Social Archaeology,"(3, 4)",Anthropology Courses,Graduate,
Ant 533,Mesoamerican Archaeology,"(3, 3)",Anthropology Courses,Graduate,
Ant 534,Seminar in Mesoamerican Writing Systems,"(3, 4)",Anthropology Courses,Graduate,
Ant 535,Archaeological Surveys,"(3, 4)",Anthropology Courses,Graduate,
Ant 537,Northeast Archaeology,"(3, 4)",Anthropology Courses,Graduate,
Ant 538,Museum Research and Curation,"(3, 4)",Anthropology Courses,Graduate,
Ant 539,Topics in Archaeology,"(3, 4)",Anthropology Courses,Graduate,
Ant 541,Advanced Syntax,"(3, 4)",Anthropology Courses,Graduate,
Ant 542,Advanced Phonology,"(3, 4)",Anthropology Courses,Graduate,
Ant 543,Archaeology of Colonial Encounters,"(3, 3)",Anthropology Courses,Graduate,
Ant 545,Acoustic and Articulatory Phonetics,"(3, 3)",Anthropology Courses,Graduate,
Ant 547,"Food, Taste, and Culture","(3, 3)",Anthropology Courses,Graduate,
Ant 548,Environmental Archaeology,"(3, 3)",Anthropology Courses,Graduate,
Ant 549,Ethnographic Surveys,"(3, 4)",Anthropology Courses,Graduate,
Ant 550,Special Topics in Medical Anthropology,"(3, 4)",Anthropology Courses,Graduate,
Ant 553,Topics in Social Anthropology,"(3, 4)",Anthropology Courses,Graduate,
Ant 560,Topics in Cultural Anthropology,"(3, 4)",Anthropology Courses,Graduate,
Ant 563,Introduction to Communication Disorders,"(3, 3)",Anthropology Courses,Graduate,
Ant 571,Mesoamerican Language Instruction,"(1, 6)",Anthropology Courses,Graduate,
Ant 572,Social Movements in Latin America,"(3, 3)",Anthropology Courses,Graduate,
Ant 574,Applying Anthropology Outside the University,"(3, 3)",Anthropology Courses,Graduate,
Ant 575,Seminar in Anthropology and Folklore,"(3, 4)",Anthropology Courses,Graduate,
Ant 582,Practicum in College Teaching,"(1, 1)",Anthropology Courses,Graduate,
Ant 593,Fieldwork in Mesoamerica: An Orientation,"(1, 1)",Anthropology Courses,Graduate,
Ant 600,Quantitative Methods in Anthropology,"(3, 4)",Anthropology Courses,Graduate,
Ant 601,Advanced Quantitative Methods in Anthropology,"(3, 4)",Anthropology Courses,Graduate,
Ant 606,Cultural Medical Anthropology,"(3, 3)",Anthropology Courses,Graduate,
Ant 607,Anthropology of Gender,"(3, 3)",Anthropology Courses,Graduate,
Ant 608,Field Methods in Ethnology,"(3, 4)",Anthropology Courses,Graduate,
Ant 611,Seminar in Physical Anthropology,"(3, 4)",Anthropology Courses,Graduate,
Ant 612,Topics in Biomedical Anthropology,"(3, 4)",Anthropology Courses,Graduate,
Ant 614,Topics in Growth and Development,"(3, 4)",Anthropology Courses,Graduate,
Ant 615,Topics in Population Biology,"(3, 4)",Anthropology Courses,Graduate,
Ant 617,Topics in Paleoanthropology,"(3, 4)",Anthropology Courses,Graduate,
Ant 618,Seminar in Human Osteology,"(3, 4)",Anthropology Courses,Graduate,
Ant 624,Seminar in Linguistics,"(3, 4)",Anthropology Courses,Graduate,
Ant 628,Archaeological Field and Laboratory Techniques,"(3, 4)",Anthropology Courses,Graduate,
Ant 630,Seminar in Archaeology,"(3, 4)",Anthropology Courses,Graduate,
Ant 631,Seminar in Archaeological Theory and Method,"(3, 4)",Anthropology Courses,Graduate,
Ant 632,Archaeological Research Design,"(3, 4)",Anthropology Courses,Graduate,
Ant 633,Seminar in Mesoamerican Archaeology,"(3, 4)",Anthropology Courses,Graduate,
Ant 634,Stone Tool Analysis,"(3, 3)",Anthropology Courses,Graduate,
Ant 635,Topics in Archaeology and Ethnohistory,"(3, 4)",Anthropology Courses,Graduate,
Ant 636,Zooarchaeology,"(3, 4)",Anthropology Courses,Graduate,
Ant 641,Seminar in Mesoamerican Ethnology,"(3, 4)",Anthropology Courses,Graduate,
Ant 643,Seminar in Native Mesoamerican Texts and Literature,"(3, 4)",Anthropology Courses,Graduate,
Ant 661,Seminar in Political Anthropology,"(3, 4)",Anthropology Courses,Graduate,
Ant 662,Seminar in Economic Anthropology,"(3, 4)",Anthropology Courses,Graduate,
Ant 663,Seminar in Cross-Cultural Comparison,"(3, 4)",Anthropology Courses,Graduate,
Ant 664,Seminar in Urban Anthropology,"(3, 4)",Anthropology Courses,Graduate,
Ant 665,Seminar in the Ethnology of Religion,"(3, 4)",Anthropology Courses,Graduate,
Ant 666,Seminar in Ethnohistory,"(3, 4)",Anthropology Courses,Graduate,
Ant 668,Seminar in Ecological Anthropology,"(3, 4)",Anthropology Courses,Graduate,
Ant 670,Seminar in Ethnology,"(3, 4)",Anthropology Courses,Graduate,
Ant 688,Advanced Research Methods in Anthropology,"(3, 4)",Anthropology Courses,Graduate,
Ant 690,Seminar in Anthropology,"(3, 4)",Anthropology Courses,Graduate,
Ant 691,Directed Reading,"(1, 6)",Anthropology Courses,Graduate,
Ant 692,Directed Research,"(1, 6)",Anthropology Courses,Graduate,
Ant 699,Master's Thesis,"(2, 6)",Anthropology Courses,Graduate,
Ant 791,Directed Reading,"(2, 4)",Anthropology Courses,Graduate,
Ant 792,Independent Field Research,"(2, 15)",Anthropology Courses,Graduate,
Ant 899,Doctoral Dissertation,"(1, 1)",Anthropology Courses,Graduate,
Art 500,Master’s of Arts Departmental Seminar,"(3, 3)","Art Courses, Studio",Graduate,
Art 506,Workshop in Advanced Drawing and Criticism,"(3, 3)","Art Courses, Studio",Graduate,
Art 526,Music Composition in Electronic Media I,"(3, 3)","Art Courses, Studio",Graduate,
Art 527,Music Composition in Electronic Media II,"(3, 3)","Art Courses, Studio",Graduate,
Art 528,Sound Design and Multimedia,"(3, 3)","Art Courses, Studio",Graduate,
Art 529,Live Electronic Performance,"(3, 3)","Art Courses, Studio",Graduate,
Art 532,Painting Workshop,"(3, 3)","Art Courses, Studio",Graduate,
Art 542,Advanced Workshop in Lithography,"(3, 3)","Art Courses, Studio",Graduate,
Art 546,Nonsilver Photography Workshop,"(3, 3)","Art Courses, Studio",Graduate,
Art 547,Phototechniques for Printmakers,"(3, 3)","Art Courses, Studio",Graduate,
Art 550,Advanced Digital Media,"(3, 3)","Art Courses, Studio",Graduate,
Art 555,Graduate Combined Media Studio Seminar,"(3, 3)","Art Courses, Studio",Graduate,
Art 645,MA Exhibition Thesis Project,"(3, 3)","Art Courses, Studio",Graduate,
Art 697,Independent Study,"(1, 4)","Art Courses, Studio",Graduate,
Art 699,Master's Thesis in Studio Art,"(4, 4)","Art Courses, Studio",Graduate,
Art 700,Departmental Seminar,"(4, 4)","Art Courses, Studio",Graduate,
Art 745,MFA Exhibition Thesis Project,"(4, 4)","Art Courses, Studio",Graduate,
Art 780,Topics in Painting,"(1, 6)","Art Courses, Studio",Graduate,
Art 781,Topics in Sculpture,"(1, 6)","Art Courses, Studio",Graduate,
Art 782,Topics in Drawing,"(1, 6)","Art Courses, Studio",Graduate,
Art 783,Topics in Lithography,"(1, 6)","Art Courses, Studio",Graduate,
Art 784,Topics in Intaglio,"(1, 6)","Art Courses, Studio",Graduate,
Art 785,Topics in Photography,"(1, 6)","Art Courses, Studio",Graduate,
Art 786,Topics in Special Techniques,"(1, 6)","Art Courses, Studio",Graduate,
Art 797,Independent Study,"(1, 6)","Art Courses, Studio",Graduate,
Arh 550,Art and Society in Early Modern France,"(3, 3)",Art History Courses,Graduate,
Arh 561,Women in Cinema,"(3, 3)",Art History Courses,Graduate,
Arh 563,Landscape in Film: Cinematic Space and Setting,"(3, 3)",Art History Courses,Graduate,
Arh 564,"Advanced Analysis of Film: Form, Story, and Style","(3, 3)",Art History Courses,Graduate,
Arh 565,Research Seminar in Film Studies,"(3, 3)",Art History Courses,Graduate,
Arh 566,Art Criticism of the Modern Period,"(3, 3)",Art History Courses,Graduate,
Arh 567,Art Criticism of the Post-Modern Period,"(3, 3)",Art History Courses,Graduate,
Arh 568,Postwar & Contemporary Art: 1945 to Now,"(3, 3)",Art History Courses,Graduate,
Arh 569,Art Criticism and Theory After 2000,"(4, 4)",Art History Courses,Graduate,
Arh 575,Women in Art from the Renaissance to Impressionism,"(3, 3)",Art History Courses,Graduate,
Arh 576,Women in Art from the New Woman to Now,"(3, 3)",Art History Courses,Graduate,
Arh 598,Topics in Art History,"(3, 3)",Art History Courses,Graduate,
Arh 599,Art History Research Seminar: Selected Topics,"(3, 3)",Art History Courses,Graduate,
Arh 600,Seminar in Contemporary Art,"(4, 4)",Art History Courses,Graduate,
Arh 797,Independent Study in Art History,"(1, 6)",Art History Courses,Graduate,
Aib 620,Generative Artificial Intelligence and Large Language Models,"(3, 3)",Artificial Intelligence Business Courses,Graduate,
Aib 640,Artificial Intelligence and Strategic Decision Making,"(3, 3)",Artificial Intelligence Business Courses,Graduate,
Aib 650,AI & Ethics,"(3, 3)",Artificial Intelligence Business Courses,Graduate,
Aib 660,Capstone: Business Models in Artificial Intelligence,"(3, 3)",Artificial Intelligence Business Courses,Graduate,
Atm 500,Atmospheric Dynamics,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 501,Synoptic Laboratory II,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 504,Introduction to Atmospheric Physics I,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 505,Introduction to Atmospheric Physics II,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 506,Environmental Geochemistry,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 507,Atmospheric Chemistry,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 508,Hydrometeorology,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 509,Atmospheric Precipitation Processes,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 511,Synoptic-Dynamic Meteorology,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 514,Air Pollution Meteorology,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 515,Aerosol Physics,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 518,Meteorological Instrumentation,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 520,Remote Sensing in Atmospheric Sciences,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 521,Tropical Meteorology,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 522,Climate Variability and Predictability,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 523,Large-scale Dynamics of the Tropics,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 525,Troposphere-Stratosphere Interactions,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 527,Observations and Theory of Tropical Cyclones,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 528,Basic Concepts of Atmospheric Transfer Processes,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 529,Atmosphere-Ocean Interaction,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 530,Renewable Energy Issues,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 531,Principles of Sustainable Energy,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 533,Advanced Geophysical Data Analysis and Visualization,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 534,Cloud and Precipitation Physics I,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 540,Applications of Subseasonal to Seasonal Dynamics,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 543,"Weather, Climate Change, and Societal Impacts","(3, 3)",Atmospheric Science Courses,Graduate,
Atm 546,Atmospheric Radiative Processes,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 550,Paleoclimatology,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 551,Fundamentals of Earth's Climate,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 552,Climate Change,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 561,Applied Data Analysis in Atmospheric and Environmental Science,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 562,Numerical methods and modeling,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 563,Applications of Numerical Weather Prediction,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 566,Marine and Estuary Systems,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 580,Communication Skills for Geoscientists,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 601,Synoptic Laboratory III,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 611,Advanced Synoptic Meteorology,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 612,Atmospheric Convection,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 615,Global Biogeochemical Cycles,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 619,Seminar in Atmospheric Science I,"(1, 3)",Atmospheric Science Courses,Graduate,
Atm 621,Structure and Dynamics of Extratropical Cyclones,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 622,General Circulation of the Atmosphere,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 623,Climate Modeling,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 628,Boundary Layer Meteorology,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 629,Boundary Layer Processes of Urban Environments,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 631,Mesoscale Dynamics,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 632,Geophysical Fluid Dynamics,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 639,Independent Study,"(1, 3)",Atmospheric Science Courses,Graduate,
Atm 641,Mesoscale Processes,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 652,Atmospheric Predictability,"(3, 3)",Atmospheric Science Courses,Graduate,
Atm 690,Graduate Internship in Atmospheric Science,"(1, 6)",Atmospheric Science Courses,Graduate,
Atm 698,Research in Atmospheric Science I,"(1, 9)",Atmospheric Science Courses,Graduate,
Atm 699,Masters Thesis,"(1, 6)",Atmospheric Science Courses,Graduate,
Atm 719,Seminar in Atmospheric Science II,"(1, 2)",Atmospheric Science Courses,Graduate,
Atm 721,Special Problems in Synoptic Meteorology,"(2, 4)",Atmospheric Science Courses,Graduate,
Atm 722,Special Problems in Dynamic Meteorology,"(2, 4)",Atmospheric Science Courses,Graduate,
Atm 723,Special Problems in Climatology,"(2, 4)",Atmospheric Science Courses,Graduate,
Atm 724,Special Problems in Atmospheric Electricity,"(2, 4)",Atmospheric Science Courses,Graduate,
Atm 725,Special Problems in Aerosol Physics,"(2, 4)",Atmospheric Science Courses,Graduate,
Atm 726,Special Problems in Aeronomy,"(2, 4)",Atmospheric Science Courses,Graduate,
Atm 727,Special Problems in Limnology and Oceanography,"(2, 4)",Atmospheric Science Courses,Graduate,
Atm 728,Special Problems in Micrometeorology,"(2, 4)",Atmospheric Science Courses,Graduate,
Atm 732,Special Problems in Geophysical Fluid Dynamics,"(2, 4)",Atmospheric Science Courses,Graduate,
Atm 733,Special Problems in Atmospheric Chemistry,"(2, 4)",Atmospheric Science Courses,Graduate,
Atm 734,Special Problems in Cloud and Precipitation Physics,"(2, 4)",Atmospheric Science Courses,Graduate,
Atm 735,Special Problems in Instrumentation,"(2, 4)",Atmospheric Science Courses,Graduate,
Atm 736,Special Problems in Atmospheric Radiation,"(2, 4)",Atmospheric Science Courses,Graduate,
Atm 737,Special Problems in Mesoscale Meteorology,"(2, 4)",Atmospheric Science Courses,Graduate,
Atm 741,Special Problems in Tropical Cyclone Research,"(1, 3)",Atmospheric Science Courses,Graduate,
Atm 898,Research in Atmospheric Science II,"(1, 9)",Atmospheric Science Courses,Graduate,
Atm 899,Doctoral Dissertation,"(1, 1)",Atmospheric Science Courses,Graduate,
Cas 595,Teaching Science Research,"(3, 3)",College Of Arts And Sciences Courses,Graduate,
Cas 601,Seminar in College Teaching,"(0, 1)",College Of Arts And Sciences Courses,Graduate,
Cas 602,Preparing for the Professoriate,"(0, 1)",College Of Arts And Sciences Courses,Graduate,
Cas 603,Becoming a Reflective Teacher: The Teaching Portfolio,"(0, 1)",College Of Arts And Sciences Courses,Graduate,
Bio 501,Special Topics in the Biological Sciences,"(1, 3)",Biological Sciences Courses,Graduate,
Bio 504,Cell Biology I,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 505,Cell Biology II,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 513,Modern Use of Light Microscopy,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 514,Biotechnology Laboratory,"(2, 2)",Biological Sciences Courses,Graduate,
Bio 518,Ecological Modeling,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 519,Human Population Genetics,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 521,Cell and Molecular Developmental Neurobiology,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 523,Biochemistry and Biomolecular Structure,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 524,Advanced Molecular Biology,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 529,Molecular Virology,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 534,Spatial Statistics,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 540,Principles of Bioinformatics,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 541,Molecular Neurobiology,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 546,Brain Imaging,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 547,Cellular Aspects of Neurophysiology: Lecture,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 552,Forensic Genetics,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 553,Ecology and Evolution of Infectious Diseases,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 554,Introduction to the Biomanufacturing of Pharmaceuticals,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 555,Plant Ecology,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 557,Forensic Science Seminar,"(0, 0)",Biological Sciences Courses,Graduate,
Bio 558,"Biology Research Methods: Generating, Analyzing, and Communicating  Biological Findings","(3, 3)",Biological Sciences Courses,Graduate,
Bio 563,Integrative Principles of Evolution,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 564,Integrative Principles of Ecology and Behavior,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 575,Forensic Biology I,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 577,Forensic Science,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 578,Instrumental and Biochemical Analysis,"(2, 2)",Biological Sciences Courses,Graduate,
Bio 579,Forensic Biology II,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 580,Forensic Chemistry and Toxicology,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 600,Topics in Evolution,"(1, 4)",Biological Sciences Courses,Graduate,
Bio 601,Topics in Ecology,"(1, 4)",Biological Sciences Courses,Graduate,
Bio 602,Topics in Cell Biology,"(1, 4)",Biological Sciences Courses,Graduate,
Bio 603,Topics in Genetics and Molecular Biology,"(1, 4)",Biological Sciences Courses,Graduate,
Bio 605,Topics in Developmental Biology,"(1, 4)",Biological Sciences Courses,Graduate,
Bio 608,Topics in Animal Biology,"(1, 4)",Biological Sciences Courses,Graduate,
Bio 610,Topics in Biophysics and Biochemistry,"(1, 4)",Biological Sciences Courses,Graduate,
Bio 611,Topics in Population Biology,"(1, 4)",Biological Sciences Courses,Graduate,
Bio 612,Topics in Theoretical Biology,"(1, 4)",Biological Sciences Courses,Graduate,
Bio 613,Research Techniques in Biology,"(1, 4)",Biological Sciences Courses,Graduate,
Bio 619,Physical and Chemical Principles in RNA Biology,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 620,Tutorial in Computing and Bioinformatics,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 621,Principals and Practices of Coastal Zone Management,"(3, 3)",Biological Sciences Courses,Graduate,
Bio 622,Tutorial in Imaging and Microscopy,"(3, 3)",Biological Sciences Courses,Graduate,
