courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 603,Accounting For Decision Makers,3,Accounting,Graduate,
ACCT 641,Cases In Forensic Accounting And Fraud Examination,3,Accounting,Graduate,
ACCT 650,Financial Reporting For Government And Not-For-Profit Entities,3,Accounting,Graduate,
ACCT 704,Corporate Financial Reporting I,3,Accounting,Graduate,
ACCT 705,Corporate Financial Reporting Ii,3,Accounting,Graduate,
ACCT 706,Cost Management,3,Accounting,Graduate,
ACCT 707,Advanced Accounting,3,Accounting,Graduate,
ACCT 708,Advanced Topics In Auditing And Assurance,3,Accounting,Graduate,
ACCT 709,Basic Taxation,3,Accounting,Graduate,
ACCT 710,Tax Analysis And Strategy,3,Accounting,Graduate,
ACCT 711,Internal Auditing,3,Accounting,Graduate,
ACCT 738,Information Systems Auditing And Assurance Services,3,Accounting,Graduate,
ACCT 740,Comparative Financial Statement Analysis,3,Accounting,Graduate,
ACCT 745,Accounting Information And Analytics,3,Accounting,Graduate,
ACCT 758,Seminar In Accounting,3,Accounting,Graduate,
ACCT 790,Field Exam Prep,0,Accounting,Graduate,
ACCT 794,Cost Management In Technical Organizations,3,Accounting,Graduate,
ACCT 795,Financial Accounting Theory And Research,3,Accounting,Graduate,
ACCT 796,Accounting Capstone Experience,3,Accounting,Graduate,
ACCT 799,Independent Study Accounting,3,Accounting,Graduate,
ACCT 801,Financial Accounting And Reporting,2,Accounting,Graduate,
ACCT 802,Managerial Accounting,2,Accounting,Graduate,
ACCT 810,Doctoral Seminar In Research In Financial Accounting,3,Accounting,Graduate,
ACCT 820,Auditing Research Seminar,3,Accounting,Graduate,
ACCT 858,Seminar: Special Topics In Accounting,3,Accounting,Graduate,
CHMA 621,Advanced Instrumental Analysis Lab,3,Analytical Chemistry,Graduate,
CHMA 650,Chemical Separations And Mass Spectrometry,3,Analytical Chemistry,Graduate,
CHMA 670,Advanced Concepts Of Environmental Chemistry,3,Analytical Chemistry,Graduate,
CHMA 711,Advanced Instrumental Analysis,3,Analytical Chemistry,Graduate,
CHMA 725,The Magnetic Resonance Family,3,Analytical Chemistry,Graduate,
CHMA 740,Practical Nmr,3,Analytical Chemistry,Graduate,
CHMA 750,Nmr Spectrometer Maintenance,3,Analytical Chemistry,Graduate,
CGNS 601,Cognitive Neuroscience,3,Applied Cognitive Neuroscience,Graduate,
CGNS 689,Neuroscience Graduate Special Topics,1-4,Applied Cognitive Neuroscience,Graduate,
CGNS 710,Design Thinking And Cognition,3,Applied Cognitive Neuroscience,Graduate,
CGNS 799,Neuroscience Graduate Independent Study,1-4,Applied Cognitive Neuroscience,Graduate,
ARCH 611,Architectural Representation I,3,Architecture,Graduate,
ARCH 612,Architectural Representation Ii,3,Architecture,Graduate,
ARCH 621,Architectural History I,3,Architecture,Graduate,
ARCH 622,Architectural History Ii,3,Architecture,Graduate,
ARCH 631,Architectural Design I,6,Architecture,Graduate,
ARCH 632,Architectural Design Ii,6,Architecture,Graduate,
ARCH 641,Fundamentals Of Building Systems,3,Architecture,Graduate,
ARCH 651,Architectural Theory,3,Architecture,Graduate,
ARCH 652,Urban And Regional Planning,3,Architecture,Graduate,
ARCH 661,Understanding Sustainability,3,Architecture,Graduate,
ARCH 662,Sustainable Built Environment,3,Architecture,Graduate,
ARCH 689,St: Passive House Design,3,Architecture,Graduate,
ARCH 698,Global Experience,0-3,Architecture,Graduate,
ARCH 699,Coop Architecture,0,Architecture,Graduate,
ARCH 731,Architectural Studio I: Site,6,Architecture,Graduate,
ARCH 732,Architectural Studio Ii: Tectonic,6,Architecture,Graduate,
ARCH 733,Architectural Studio Iii: Adaptive,6,Architecture,Graduate,
ARCH 734,Architecture Studio Ii: Urban,6,Architecture,Graduate,
ARCH 735,Architecture Studio Iv: Integrative,6,Architecture,Graduate,
ARCH 741,Integrated Bldg Systems I,3,Architecture,Graduate,
ARCH 742,Integrated Building Systems Ii,3,Architecture,Graduate,
ARCH 743,Integrated Building Systems Iii,3,Architecture,Graduate,
ARCH 744,Integrated Building Systems Iv,3,Architecture,Graduate,
ARCH 753,Thesis Preparation,3,Architecture,Graduate,
ARCH 754,Architectural Research Methods,3,Architecture,Graduate,
ARCH 762,Industrial Ecology Fundamental,3,Architecture,Graduate,
ARCH 763,Sustainable Building Metrics,3,Architecture,Graduate,
ARCH 764,Race To Net Zero,3,Architecture,Graduate,
ARCH 771,Professional Practice,3,Architecture,Graduate,
ARCH 781,Graduate Scholarship,1-6,Architecture,Graduate,
ARCH 789,Architecture Special Topics,1-6,Architecture,Graduate,
ARCH 790,Thesis,3,Architecture,Graduate,
ARCH 791,Continuation Of Thesis,0,Architecture,Graduate,
ARCH 799,Independent Study,1-4,Architecture,Graduate,
ARED 701,Child Development In Art,3,Art Education,Graduate,
ARED 702,Inclusive Art Education: Teaching Students With Disabilities In The K-12 Art Classroom,3,Art Education,Graduate,
ARED 703,Multicultural Issues In Art And Education,3,Art Education,Graduate,
ARED 704,Methods In Teaching And Learning,3,Art Education,Graduate,
ARED 705,Methods Ii: Studio Thinking,3,Art Education,Graduate,
ARED 711,Professional Practices In Art Education,3,Art Education,Graduate,
ARED 761,Survey Of Methods And Materials For 6Th – 12Th Grade Art Education,3,Art Education,Graduate,
ARED 790,Student Teaching,9,Art Education,Graduate,
ARED 890,Graduate Seminar In Art Education,6,Art Education,Graduate,
ARTH 600,Postmodernism And After: Contemporary Aesthetics,3,Art History,Graduate,
ARTH 601,Forms Of Inquiry,3,Art History,Graduate,
ARTH 611,Extreme Abstraction,3,Art History,Graduate,
ARTH 621,The Image,3,Art History,Graduate,
ARTH 624,Scandinavian Modernism,3,Art History,Graduate,
ARTH 638,Symbols And Symbol Making: Psychoanalytic Perspectives On Art,3,Art History,Graduate,
ARTH 644,Illuminated Manuscripts,3,Art History,Graduate,
ARTH 649,Topics In Global Art And Architecture:,3,Art History,Graduate,
ARTH 650,Topics In Art History,3,Art History,Graduate,
ARTH 655,Topics In Medieval Art And Architecture,3,Art History,Graduate,
ARTH 663,Modern Architecture,3,Art History,Graduate,
ARTH 666,Modernism Realism Expressionism,3,Art History,Graduate,
ARTH 668,Art And Technology: From The Machine Aesthetic To The Cyborg Age,3,Art History,Graduate,
ARTH 671,Art And Architecture Of Ancient Rome,3,Art History,Graduate,
ARTH 672,Art Of The Americas,3,Art History,Graduate,
ARTH 673,Conceptual Art,3,Art History,Graduate,
ARTH 674,Dada And Surrealism,3,Art History,Graduate,
ARTH 677,Displaying Gender,3,Art History,Graduate,
ARTH 678,Edvard Munch,3,Art History,Graduate,
ARTH 681,Latin American Art,3,Art History,Graduate,
ARTH 683,Installation Art,3,Art History,Graduate,
ARTH 686,History Of Things: Studies In Material Culture,3,Art History,Graduate,
ARTH 688,The Gothic Revival,3,Art History,Graduate,
ARTH 711,Theories Of Representation,3,Art History,Graduate,
IDAI 610,Fundamentals Of Artificial Intelligence,3,Artificial Intelligence,Graduate,
IDAI 620,Mathematical Methods For Artificial Intelligence,3,Artificial Intelligence,Graduate,
IDAI 699,Graduate Co-Op,0,Artificial Intelligence,Graduate,
IDAI 700,Ethics Of Artificial Intelligence,3,Artificial Intelligence,Graduate,
IDAI 710,Fundamentals Of Machine Learning,3,Artificial Intelligence,Graduate,
IDAI 720,Research Methods For Artificial Intelligence,3,Artificial Intelligence,Graduate,
IDAI 780,Capstone Project,3,Artificial Intelligence,Graduate,
IDAI 790,Research & Thesis,1-6,Artificial Intelligence,Graduate,
IDAI 791,Continuation Of Research And Thesis,0,Artificial Intelligence,Graduate,
IDAI 799,Independent Study In Artificial Intelligence,1-3,Artificial Intelligence,Graduate,
ASTP 601,Graduate Seminar I,1,Astrophysical Sciences & Tech,Graduate,
ASTP 602,Graduate Seminar Ii,1,Astrophysical Sciences & Tech,Graduate,
ASTP 608,Fundamental Astrophysics I,3,Astrophysical Sciences & Tech,Graduate,
ASTP 609,Fundamental Astrophysics Ii,3,Astrophysical Sciences & Tech,Graduate,
ASTP 610,Mathematical Methods For The Astrophysical Sciences,3,Astrophysical Sciences & Tech,Graduate,
ASTP 611,Statistical Methods For Astrophysics,3,Astrophysical Sciences & Tech,Graduate,
ASTP 612,Mathematical And Statistical Methods For Astrophysics,3,Astrophysical Sciences & Tech,Graduate,
ASTP 613,Astronomical Observational Techniques And Instrumentation,3,Astrophysical Sciences & Tech,Graduate,
ASTP 615,Radiative Processes For Astrophysical Sciences,3,Astrophysical Sciences & Tech,Graduate,
ASTP 617,Astrophysical Dynamics,3,Astrophysical Sciences & Tech,Graduate,
ASTP 618,Fundamentals Of Theoretical Astrophysics I,3,Astrophysical Sciences & Tech,Graduate,
ASTP 619,Fundamentals Of Theoretical Astrophysics Ii,3,Astrophysical Sciences & Tech,Graduate,
ASTP 660,Introduction To Relativity And Gravitation,3,Astrophysical Sciences & Tech,Graduate,
ASTP 699,Astrophysical Sciences And Technology Graduate Co-Op,0,Astrophysical Sciences & Tech,Graduate,
ASTP 711,Advanced Statistical Methods For Astrophysics,3,Astrophysical Sciences & Tech,Graduate,
ASTP 720,Computational Methods For Astrophysics,3,Astrophysical Sciences & Tech,Graduate,
ASTP 730,Stellar Atmospheres & Evolution,3,Astrophysical Sciences & Tech,Graduate,
ASTP 740,Galactic Astrophysics,3,Astrophysical Sciences & Tech,Graduate,
ASTP 750,Extragalactic Astrophysics,3,Astrophysical Sciences & Tech,Graduate,
ASTP 789,Special Topics,1-3,Astrophysical Sciences & Tech,Graduate,
ASTP 790,Research & Thesis,1-3,Astrophysical Sciences & Tech,Graduate,
ASTP 791,Continuation Of Thesis,0,Astrophysical Sciences & Tech,Graduate,
ASTP 799,Astp Independent Study,1-4,Astrophysical Sciences & Tech,Graduate,
ASTP 831,Stellar Evolution & Environments,3,Astrophysical Sciences & Tech,Graduate,
ASTP 835,High-Energy Astrophysics,3,Astrophysical Sciences & Tech,Graduate,
ASTP 841,The Interstellar Medium,3,Astrophysical Sciences & Tech,Graduate,
ASTP 851,Cosmology,3,Astrophysical Sciences & Tech,Graduate,
ASTP 861,Advanced Relativity And Gravitation,3,Astrophysical Sciences & Tech,Graduate,
ASTP 889,Special Topics,1-3,Astrophysical Sciences & Tech,Graduate,
ASTP 890,Research & Thesis,1-6,Astrophysical Sciences & Tech,Graduate,
ASTP 891,Continuation Of Thesis,0,Astrophysical Sciences & Tech,Graduate,
ASTP 899,Ast Independent Study,1-3,Astrophysical Sciences & Tech,Graduate,
BHNS 800,Psychology Internship Seminar,0,Behavioral Health and Neuroscience,Graduate,
BTRM 600,Bounce Pass,0,Better Me-Employee Wellness,Graduate,
BTRM 601,Wellness Class Pass,0,Better Me-Employee Wellness,Graduate,
CHMB 610,Advanced Protein Biochemistry: Structure And Function,3,Bio Chemistry,Graduate,
CHMB 702,Protein Conformation And Dynamics,3,Bio Chemistry,Graduate,
CHMB 704,Advanced Nucleic Acids Biochemistry; Structure And Function,3,Bio Chemistry,Graduate,
BIOL 601,Genetic Diseases And Disorders,3,Biology,Graduate,
BIOL 610,Life Science Applications Of Machine Learning,3,Biology,Graduate,
BIOL 625,Ethics In Bioinformatics,3,Biology,Graduate,
BIOL 630,Bioinformatics Algorithms,3,Biology,Graduate,
BIOL 635,Bioinformatics Seminar,3,Biology,Graduate,
BIOL 636,Graduate Seminar In Life Sciences,1,Biology,Graduate,
BIOL 640,Environmental Genomics,4,Biology,Graduate,
BIOL 650,High Throughput Sequencing Analysis,3,Biology,Graduate,
BIOL 655,Biogeography,3,Biology,Graduate,
BIOL 671,Database Management For The Sciences,3,Biology,Graduate,
BIOL 672,Computational Statistics And Data Science Methods,3,Biology,Graduate,
BIOL 673,Marine Biology,4,Biology,Graduate,
BIOL 675,Advanced Conservation Biology,3,Biology,Graduate,
BIOL 676,Environmental Microbiology,4,Biology,Graduate,
BIOL 689,Graduate Special Topics,1-4,Biology,Graduate,
BIOL 694,Molecular Modeling And Proteomics,3,Biology,Graduate,
BIOL 780,Bioinformatics Project,1-6,Biology,Graduate,
BIOL 789,Graduate Special Topics,1-4,Biology,Graduate,
BIOL 790,Research And Thesis,1-6,Biology,Graduate,
BIOL 791,Continuation Of Thesis,0,Biology,Graduate,
BIOL 798,Grad Biology Independent Study,1-4,Biology,Graduate,
BCEP 795,Doctoral Seminar,1,Biomed & Chemical Engineering PhD,Graduate,
BCEP 877,Doctoral Internship,0,Biomed & Chemical Engineering PhD,Graduate,
BCEP 889,Special Topics,3,Biomed & Chemical Engineering PhD,Graduate,
BCEP 890,Dissertation And Research,1-8,Biomed & Chemical Engineering PhD,Graduate,
BCEP 892,Graduate Research,1-8,Biomed & Chemical Engineering PhD,Graduate,
BCEP 899,Independent Study,3,Biomed & Chemical Engineering PhD,Graduate,
BIME 607,Graduate Biodesign,3,Biomedical Engineering,Graduate,
BIME 608,Graduate Biodesign Supplement,1,Biomedical Engineering,Graduate,
BIME 610,Bioanalytical Microfluidics,3,Biomedical Engineering,Graduate,
BIME 617,Principals Of Biomedical Device Regulations,3,Biomedical Engineering,Graduate,
BIME 620,Hemodynamics,3,Biomedical Engineering,Graduate,
BIME 650,Modeling And Simulation Of Biomedical Systems,3,Biomedical Engineering,Graduate,
BIME 660,Introduction To Medical Imaging: Acquisition And Biomedical Applications,3,Biomedical Engineering,Graduate,
BIME 670,Advanced Topics In Tissue Engineering,3,Biomedical Engineering,Graduate,
BIME 675,Practical Methods In Tissue Engineering,3,Biomedical Engineering,Graduate,
BIME 689,Special Topics,3,Biomedical Engineering,Graduate,
BIME 697,Graduate Research Practicum,2-6,Biomedical Engineering,Graduate,
BIME 699,Graduate Co-Op,0,Biomedical Engineering,Graduate,
BIME 743,Personalized 3D Printing,3,Biomedical Engineering,Graduate,
BIME 749,Graduate Literature Review,3,Biomedical Engineering,Graduate,
BIME 750,Statistical Analysis And Modeling Of Biomedical Data,3,Biomedical Engineering,Graduate,
BIME 770,Engineering Cell-Substrate Interactions,3,Biomedical Engineering,Graduate,
BIME 791,Graduate Biomedical Laboratory,4,Biomedical Engineering,Graduate,
BIME 792,Project With Paper,6,Biomedical Engineering,Graduate,
BIME 799,Graduate Independent Study,1-3,Biomedical Engineering,Graduate,
BANA 680,Data Management For Business Analytics,3,Business Analytics,Graduate,
BANA 780,Advanced Business Analytics,3,Business Analytics,Graduate,
BANA 785,Business Analytics Experience,3,Business Analytics,Graduate,
SCBI 801,Business Administration Phd Second Year Paper,0,Business Interdisciplinary,Graduate,
SCBI 858,Phd Seminar,3,Business Interdisciplinary,Graduate,
SCBI 890,Business Administration Phd Dissertation Research,5,Business Interdisciplinary,Graduate,
SCBI 895,Business Administration Phd Comprehensive Exam,0,Business Interdisciplinary,Graduate,
SCBI 899,Phd Independent Study,3,Business Interdisciplinary,Graduate,
BLEG 612,Legal And Accounting Issues For New Ventures,3,Business Legal Studies,Graduate,
BLEG 730,Business Legal Concepts,3,Business Legal Studies,Graduate,
BLEG 731,Commercial Law And Professional Skills,3,Business Legal Studies,Graduate,
BLEG 745,Legal And Ethical Issues In Technology-Intensive Environments,3,Business Legal Studies,Graduate,
BLEG 758,Seminar In Business Legal Studies,3,Business Legal Studies,Graduate,
CCER 601,Ceramic Practice,3,Ceramics,Graduate,
CCER 607,Mold Mechanisms,3,Ceramics,Graduate,
CCER 611,Ceramic Processes,3,Ceramics,Graduate,
CCER 613,Thrown Sculptural Forms,3,Ceramics,Graduate,
CCER 630,Ceramics Elective Iii,3,Ceramics,Graduate,
CCER 698,Ceramics Internship,1-6,Ceramics,Graduate,
CCER 699,Ceramics Co-Op,0,Ceramics,Graduate,
CCER 790,Ceramics Thesis Initiation,6,Ceramics,Graduate,
CCER 799,Ceramics Independent Study,1-6,Ceramics,Graduate,
CCER 887,Ceramics Part-Time Co-Op,0,Ceramics,Graduate,
CCER 890,Ceramics Thesis Resolution,9,Ceramics,Graduate,
GRCS 701,Research Methods,3,CET Graduate Courses,Graduate,
CHME 610,Advanced Thermodynamics,3,Chemical Engineering,Graduate,
CHME 611,Statistical Thermodynamics,3,Chemical Engineering,Graduate,
CHME 620,Advanced Transport Phenomena,3,Chemical Engineering,Graduate,
CHME 640,Advanced Reaction Engineering,3,Chemical Engineering,Graduate,
CHME 650,Electrochemical Engineering,3,Chemical Engineering,Graduate,
CHME 651,Soft Matter & Molecular Self-Assembly,3,Chemical Engineering,Graduate,
CHME 654,Fundamentals And Applications Of Optical Materials,3,Chemical Engineering,Graduate,
CHME 660,Battery Design And Manufacturing,3,Chemical Engineering,Graduate,
CHME 670,Biochemical Engineering And Assay Development,3,Chemical Engineering,Graduate,
CHME 689,Special Topics,3,Chemical Engineering,Graduate,
CHME 699,Graduate Co-Op,0,Chemical Engineering,Graduate,
CHME 709,Advanced Engineering Mathematics,3,Chemical Engineering,Graduate,
CHME 777,Graduate Internship,3,Chemical Engineering,Graduate,
CHME 789,Special Topics,3,Chemical Engineering,Graduate,
CHME 792,Project With Paper,3,Chemical Engineering,Graduate,
CHME 799,Independent Study,1-4,Chemical Engineering,Graduate,
CHEM 670,Graduate Chemistry Writing,1,Chemistry,Graduate,
CHEM 699,Chemistry Graduate Co-Op,0,Chemistry,Graduate,
CHEM 771,Graduate Chemistry Seminar I,1,Chemistry,Graduate,
CHEM 772,Graduate Chemistry Seminar Ii,1,Chemistry,Graduate,
CHEM 773,Graduate Chemistry Seminar Iii,1,Chemistry,Graduate,
CHEM 774,Graduate Chemistry Seminar Iv,1,Chemistry,Graduate,
CHEM 780,Chemistry Project,1-4,Chemistry,Graduate,
CHEM 781,Continuation Of Project,0,Chemistry,Graduate,
CHEM 789,Graduate Special Topics,1-3,Chemistry,Graduate,
CHEM 790,Research & Thesis,1-6,Chemistry,Graduate,
CHEM 791,Continuation Of Thesis,0,Chemistry,Graduate,
CHEM 799,Independent Study,1-3,Chemistry,Graduate,
COGS 600,Foundations In Research,3,Cognitive Science,Graduate,
COGS 610,Laboratory Methods,3,Cognitive Science,Graduate,
COGS 621,Foundations Of Scientific Computing,3,Cognitive Science,Graduate,
COGS 711,Philosophical Foundations In Cognitive Science,3,Cognitive Science,Graduate,
COGS 720,Teaching Practicum,3,Cognitive Science,Graduate,
COGS 760,Foundations Of Cognitive Modeling,3,Cognitive Science,Graduate,
COGS 761,Graduate Psycholinguistics,3,Cognitive Science,Graduate,
COGS 762,Animal Cognition,3,Cognitive Science,Graduate,
COGS 765,Psycholinguistics Of Signed Languages,3,Cognitive Science,Graduate,
COGS 766,Neuroplasticity In Deaf And Blind Individuals,3,Cognitive Science,Graduate,
COGS 768,Deaf Vision,3,Cognitive Science,Graduate,
COGS 780,Cognitive Science Research,1-6,Cognitive Science,Graduate,
COGS 800,Cognitive Science Qualifying Examination,0,Cognitive Science,Graduate,
COGS 801,Cognitive Science Research Colloquium,0,Cognitive Science,Graduate,
COGS 880,Cognitive Science Dissertation Research,1-6,Cognitive Science,Graduate,
COGS 887,Cognitive Science Dissertation Proposal,0,Cognitive Science,Graduate,
COGS 888,Continuation Of Dissertation,0,Cognitive Science,Graduate,
CLRS 600,Fundamentals Of Color Science,3,Color Science,Graduate,
CLRS 601,Principles Of Color Science,3,Color Science,Graduate,
CLRS 602,Color Physics And Applications,3,Color Science,Graduate,
CLRS 689,Special Topics,1-4,Color Science,Graduate,
CLRS 699,Color Science Graduate Co-Op,0,Color Science,Graduate,
CLRS 720,Computational Vision Science,3,Color Science,Graduate,
CLRS 750,Historical Research Perspectives,1,Color Science,Graduate,
CLRS 751,Research And Publication Methods,2,Color Science,Graduate,
CLRS 780,Color Science Graduate Project,1-4,Color Science,Graduate,
CLRS 789,Special Topics,1-4,Color Science,Graduate,
CLRS 790,Research & Thesis,1-6,Color Science,Graduate,
CLRS 791,Continuation Of Thesis,0,Color Science,Graduate,
CLRS 799,Color Science Independent Study,1-4,Color Science,Graduate,
CLRS 820,Modeling Visual Perception,3,Color Science,Graduate,
CLRS 889,Special Topics,1-4,Color Science,Graduate,
CLRS 890,Research & Thesis,1-6,Color Science,Graduate,
CLRS 891,Continuation Of Thesis,0,Color Science,Graduate,
COMM 605,Social Media Analytics And Research,3,Communication,Graduate,
COMM 606,Digital Storytelling,3,Communication,Graduate,
COMM 702,Communication Theories,3,Communication,Graduate,
COMM 703,Research Methods In Communication,3,Communication,Graduate,
COMM 708,Communication Education,3,Communication,Graduate,
COMM 709,Digital Advertising,3,Communication,Graduate,
COMM 710,Visual Communication,3,Communication,Graduate,
COMM 714,Strategic Communication,3,Communication,Graduate,
COMM 715,Communication Design Principles,3,Communication,Graduate,
COMM 716,Communication And Identity,3,Communication,Graduate,
COMM 717,Artificial Intelligence And Communication,3,Communication,Graduate,
COMM 720,Thesis Preparation Seminar,0,Communication,Graduate,
COMM 789,Special Topics Communication,3,Communication,Graduate,
COMM 799,Independent Study In Communication,1-3,Communication,Graduate,
COMM 800,Communication Thesis/Project,1-6,Communication,Graduate,
COMM 801,Comprehensive Exam,0,Communication,Graduate,
COMM 890,Continuation Of Thesis/Project,0,Communication,Graduate,
COMM 999,Co-Op,0,Communication,Graduate,
CMPE 610,Analytical Topics In Computer Engineering,3,Computer Engineering,Graduate,
CMPE 630,Digital Integrated Circuit Design,3,Computer Engineering,Graduate,
CMPE 640,Control Systems,3,Computer Engineering,Graduate,
CMPE 655,Multiple Processor Systems,3,Computer Engineering,Graduate,
CMPE 660,Reconfigurable Computing,3,Computer Engineering,Graduate,
CMPE 661,Hardware And Software Design For Cryptographic Applications,3,Computer Engineering,Graduate,
CMPE 663,Real-Time & Embedded Systems,3,Computer Engineering,Graduate,
CMPE 664,Modeling Of Real-Time Systems,3,Computer Engineering,Graduate,
CMPE 665,Performance Engineering Of Real-Time And Embedded Systems,3,Computer Engineering,Graduate,
CMPE 670,Data And Communication Networks,3,Computer Engineering,Graduate,
CMPE 675,Robotics: Embedded And Autonomous Systems,3,Computer Engineering,Graduate,
CMPE 677,Machine Intelligence,3,Computer Engineering,Graduate,
CMPE 679,Deep Learning,3,Computer Engineering,Graduate,
CMPE 680,Digital Image Processing Algorithms,3,Computer Engineering,Graduate,
CMPE 685,Computer Vision,3,Computer Engineering,Graduate,
CMPE 699,Graduate Co-Op,0,Computer Engineering,Graduate,
CMPE 730,Advanced Digital Integrated Circuit Design,3,Computer Engineering,Graduate,
CMPE 731,Design And Test Of Multi-Core Chips,3,Computer Engineering,Graduate,
CMPE 750,Advanced Computer Architecture,3,Computer Engineering,Graduate,
CMPE 755,High Performance Architectures,3,Computer Engineering,Graduate,
CMPE 757,Quantum Computing,3,Computer Engineering,Graduate,
CMPE 765,Brain Inspired Computing,3,Computer Engineering,Graduate,
CMPE 770,Wireless Networks,3,Computer Engineering,Graduate,
CMPE 784,Cognitive Radios And Networks,3,Computer Engineering,Graduate,
CMPE 785,Comprehensive Exam,0,Computer Engineering,Graduate,
CMPE 788,Machine Learning For Cybersecurity Analytics,3,Computer Engineering,Graduate,
CMPE 789,Special Topics,3,Computer Engineering,Graduate,
CMPE 790,Thesis,1-9,Computer Engineering,Graduate,
CMPE 792,Graduate Project,3,Computer Engineering,Graduate,
CMPE 795,Graduate Seminar,0,Computer Engineering,Graduate,
CMPE 796,Thesis & Project Initiation Seminar,0,Computer Engineering,Graduate,
CMPE 799,Independent Study,1-3,Computer Engineering,Graduate,
CSCI 603,Computational Problem Solving,3,Computer Science,Graduate,
CSCI 605,Advanced Object-Oriented Programming Concepts,3,Computer Science,Graduate,
CSCI 610,Foundations Of Computer Graphics,3,Computer Science,Graduate,
CSCI 620,Introduction To Big Data,3,Computer Science,Graduate,
CSCI 621,Foundations Of Database System Implementation,3,Computer Science,Graduate,
CSCI 622,Data Security And Privacy,3,Computer Science,Graduate,
CSCI 630,Foundations Of Artificial Intelligence,3,Computer Science,Graduate,
CSCI 631,Foundations Of Computer Vision,3,Computer Science,Graduate,
CSCI 632,Mobile Robot Programming,3,Computer Science,Graduate,
CSCI 633,Biologically Inspired Intelligent Systems,3,Computer Science,Graduate,
CSCI 635,Introduction To Machine Learning,3,Computer Science,Graduate,
CSCI 636,Information Retrieval,3,Computer Science,Graduate,
CSCI 641,Advanced Programming Skills,3,Computer Science,Graduate,
CSCI 642,Secure Coding,3,Computer Science,Graduate,
CSCI 651,Foundations Of Computer Networks,3,Computer Science,Graduate,
CSCI 652,Distributed Systems,3,Computer Science,Graduate,
CSCI 654,Foundations Of Parallel Computing,3,Computer Science,Graduate,
CSCI 655,Foundations Of Cybersecurity,3,Computer Science,Graduate,
CSCI 661,Foundations Of Computer Science Theory,3,Computer Science,Graduate,
CSCI 662,Foundations Of Cryptography,3,Computer Science,Graduate,
CSCI 664,Computational Complexity,3,Computer Science,Graduate,
CSCI 665,Foundations Of Algorithms,3,Computer Science,Graduate,
CSCI 686,Graduate Professional Seminar,3,Computer Science,Graduate,
CSCI 687,Graduate Research Seminar,3,Computer Science,Graduate,
CSCI 699,Computer Science Graduate Co-Op,0,Computer Science,Graduate,
CSCI 709,Topics In Computer Science,3,Computer Science,Graduate,
CSCI 711,Global Illumination,3,Computer Science,Graduate,
CSCI 712,Computer Animation: Algorithms And Techniques,3,Computer Science,Graduate,
CSCI 713,Applied Perception In Graphics And Visualization,3,Computer Science,Graduate,
CSCI 714,Scientific Visualization,3,Computer Science,Graduate,
CSCI 715,Applications In Virtual Reality,3,Computer Science,Graduate,
CSCI 716,Computational Geometry,3,Computer Science,Graduate,
CSCI 719,Topics In Computer Graphics,3,Computer Science,Graduate,
CSCI 720,Big Data Analytics,3,Computer Science,Graduate,
CSCI 721,Foundations Of Data Cleaning And Preparation,3,Computer Science,Graduate,
CSCI 722,Data Analytics Cognitive Comp,3,Computer Science,Graduate,
CSCI 723,Advanced Database Skills: Graph Databases,3,Computer Science,Graduate,
CSCI 724,Web Services And Service Oriented Computing,3,Computer Science,Graduate,
CSCI 725,Advanced Database Skills: Nosql And Newsql Data Systems,3,Computer Science,Graduate,
CSCI 729,Topics In Data Science For Computer Scientists,3,Computer Science,Graduate,
CSCI 731,Advanced Computer Vision,3,Computer Science,Graduate,
CSCI 732,Image Understanding,3,Computer Science,Graduate,
CSCI 734,Foundations Of Security Measurement And Evaluation,3,Computer Science,Graduate,
CSCI 735,Foundations Of Intelligent Security Systems,3,Computer Science,Graduate,
CSCI 736,Neural Networks And Machine Learning,3,Computer Science,Graduate,
CSCI 739,Topics In Artificial Intelligence For Computer Scientists,3,Computer Science,Graduate,
CSCI 740,Programming Language Theory,3,Computer Science,Graduate,
CSCI 742,Compiler Construction,3,Computer Science,Graduate,
CSCI 746,Software Development Tools,3,Computer Science,Graduate,
CSCI 749,Topics In Languages And Tools,3,Computer Science,Graduate,
CSCI 750,Fundamentals Of Cloud Computing,3,Computer Science,Graduate,
CSCI 759,Topics In Systems,3,Computer Science,Graduate,
CSCI 761,Topics In Advanced Algorithms,3,Computer Science,Graduate,
CSCI 762,Advanced Cryptography,3,Computer Science,Graduate,
CSCI 764,Quantum-Resistant Cryptography,3,Computer Science,Graduate,
CSCI 769,Topics In Theory,3,Computer Science,Graduate,
CSCI 787,Master’S Thesis Proposal And Preparation,3,Computer Science,Graduate,
CSCI 788,Computer Science Ms Project,3,Computer Science,Graduate,
CSCI 790,Computer Science Ms Thesis,6,Computer Science,Graduate,
CSCI 799,Computer Science Graduate Independent Study,1-3,Computer Science,Graduate,
CSCI 888,Cs Graduate Summer Co-Op,0,Computer Science,Graduate,
CSCI 909,Proposal Development,0,Computer Science,Graduate,
CISC 807,Teaching Skills Workshop,2,Computing & Info Sciences-PhD,Graduate,
CISC 810,Research Foundations,3,Computing & Info Sciences-PhD,Graduate,
CISC 820,Quantitative Foundations,3,Computing & Info Sciences-PhD,Graduate,
CISC 830,Cyberinfrastructure Foundations,3,Computing & Info Sciences-PhD,Graduate,
CISC 835,Connectivity,3,Computing & Info Sciences-PhD,Graduate,
